,artist,date,rank,song
0,ADELE,2016-01-02,1  ,Hello
1,JUSTIN BIEBER,2016-01-02,2  ,Sorry
2,DRAKE,2016-01-02,3  ,Hotline Bling
3,JUSTIN BIEBER,2016-01-02,4  ,What Do You Mean?
4,JUSTIN BIEBER,2016-01-02,5  ,Love Yourself
5,THE WEEKND,2016-01-02,6  ,The Hills
6,SHAWN MENDES,2016-01-02,7  ,Stitches
7,ALESSIA CARA,2016-01-02,8  ,Here
8,SELENA GOMEZ,2016-01-02,9  ,Same Old Love
9,MEGHAN TRAINOR featuring JOHN LEGEND,2016-01-02,10 ,Like I'm Gonna Lose You
10,FETTY WAP featuring REMY BOYZ,2016-01-02,11 ,679
11,ELLE KING,2016-01-02,12 ,Ex's & Oh's
12,ELLIE GOULDING,2016-01-02,13 ,On My Mind
13,DRAKE & FUTURE,2016-01-02,14 ,Jumpman
14,THE WEEKND,2016-01-02,15 ,Can't Feel My Face
15,TRAVI$ SCOTT,2016-01-02,16 ,Antidote
16,MAJOR LAZER x DJ SNAKE featuring M0,2016-01-02,17 ,Lean On
17,TAYLOR SWIFT,2016-01-02,18 ,Wildest Dreams
18,THE WEEKND,2016-01-02,19 ,In The Night
19,BRYSON TILLER,2016-01-02,20 ,Don't
20,JORDAN SMITH,2016-01-02,21 ,Somebody To Love
21,MARIAH CAREY,2016-01-02,22 ,All I Want For Christmas Is You
22,POST MALONE,2016-01-02,23 ,White Iverson
23,ARIANA GRANDE,2016-01-02,24 ,Focus
24,THOMAS RHETT,2016-01-02,25 ,Die A Happy Man
25,SILENTO,2016-01-02,26 ,Watch Me
26,FETTY WAP,2016-01-02,27 ,Trap Queen
27,TWENTY ONE PILOTS,2016-01-02,28 ,Stressed Out
28,THE CHAINSMOKERS featuring ROZES,2016-01-02,29 ,Roses
29,TORY LANEZ,2016-01-02,30 ,Say It
30,DEMI LOVATO,2016-01-02,31 ,Confident
31,ONE DIRECTION,2016-01-02,32 ,Perfect
32,R. CITY featuring ADAM LEVINE,2016-01-02,33 ,Locked Away
33,SAM HUNT,2016-01-02,34 ,Break Up In A Small Town
34,FUTURE featuring DRAKE,2016-01-02,35 ,Where Ya At
35,G-EAZY & BEBE REXHA,2016-01-02,36 ,"Me, Myself & I"
36,J. COLE,2016-01-02,37 ,No Role Modelz
37,SKRILLEX & DIPLO featuring JUSTIN BIEBER,2016-01-02,38 ,Where Are U Now
38,COLDPLAY,2016-01-02,39 ,Adventure Of A Lifetime
39,SELENA GOMEZ featuring A$AP ROCKY,2016-01-02,40 ,Good For You
40,WIZ KHALIFA featuring CHARLIE PUTH,2016-01-02,41 ,See You Again
41,FETTY WAP,2016-01-02,42 ,Again
42,OMI,2016-01-02,43 ,Cheerleader
43,BRENDA LEE,2016-01-02,44 ,Rockin' Around The Christmas Tree
44,ILOVEMEMPHIS,2016-01-02,45 ,Hit The Quan
45,ONE DIRECTION,2016-01-02,46 ,Drag Me Down
46,CAM,2016-01-02,47 ,Burning House
47,DAYA,2016-01-02,48 ,Hide Away
48,DEJ LOAF featuring BIG SEAN,2016-01-02,49 ,Back Up
49,X AMBASSADORS,2016-01-02,50 ,Renegades
50,JUSTIN BIEBER,2016-01-02,51 ,I'll Show You
51,SHAWN MENDES & CAMILA CABELLO,2016-01-02,52 ,I Know What You Did Last Summer
52,BRYSON TILLER,2016-01-02,53 ,Exchange
53,BLAKE SHELTON,2016-01-02,54 ,Gonna
54,FLO RIDA,2016-01-02,55 ,My House
55,GWEN STEFANI,2016-01-02,56 ,Used To Love You
56,MISSY ELLIOTT featuring PHARRELL WILLIAMS,2016-01-02,57 ,WTF (Where They From)
57,RUDIMENTAL featuring ED SHEERAN,2016-01-02,58 ,Lay It All On Me
58,BROTHERS OSBORNE,2016-01-02,59 ,Stay A Little Longer
59,DLOW,2016-01-02,60 ,Bet You Can't Do It Like Me
60,RACHEL PLATTEN,2016-01-02,61 ,Stand By You
61,NELLY featuring JEREMIH,2016-01-02,62 ,The Fix
62,DNCE,2016-01-02,63 ,Cake By The Ocean
63,DRAKE & FUTURE,2016-01-02,64 ,Big Rings
64,JASON ALDEAN,2016-01-02,65 ,Gonna Know We Were Here
65,DRAKE,2016-01-02,66 ,Back To Back
66,LUKE BRYAN featuring KAREN FAIRCHILD,2016-01-02,67 ,Home Alone Tonight
67,YO GOTTI,2016-01-02,68 ,Down In The DM
68,DAN + SHAY,2016-01-02,69 ,Nothin' Like You
69,JUSTIN BIEBER featuring HALSEY,2016-01-02,70 ,The Feeling
70,JANA KRAMER,2016-01-02,71 ,I Got The Boy
71,YOUNG THUG,2016-01-02,72 ,Best Friend
72,TIM McGRAW,2016-01-02,73 ,Top Of The World
73,LOCASH,2016-01-02,74 ,I Love This Life
74,CHARLIE PUTH,2016-01-02,75 ,One Call Away
75,"MACKLEMORE & RYAN LEWIS featuring ERIC NALLY, MELLE MEL, KOO",2016-01-02,76 ,Downtown
76,SELENA GOMEZ,2016-01-02,77 ,Hands To Myself
77,ADELE,2016-01-02,78 ,When We Were Young
78,RAE SREMMURD,2016-01-02,79 ,Come Get Her
79,LUKE BRYAN,2016-01-02,80 ,Strip It Down
80,TY DOLLA $IGN featuring FUTURE & RAE SREMMURD,2016-01-02,81 ,Blase
81,HALSEY,2016-01-02,82 ,New Americana
82,CARRIE UNDERWOOD,2016-01-02,83 ,Smoke Break
83,FALL OUT BOY,2016-01-02,84 ,Irresistible
84,JUSTIN BIEBER,2016-01-02,85 ,Purpose
85,KELSEA BALLERINI,2016-01-02,86 ,Dibs
86,LIL DICKY featuring FETTY WAP & RICH HOMIE QUAN,2016-01-02,87 ,$ave Dat Money
87,DRAKE,2016-01-02,88 ,Right Hand
88,DAWIN,2016-01-02,89 ,Dessert
89,JUSTIN BIEBER,2016-01-02,90 ,Mark My Words
90,PARMALEE,2016-01-02,91 ,Already Callin' You Mine
91,BIG SEAN featuring CHRIS BROWN & TY DOLLA $IGN,2016-01-02,92 ,Play No Games
92,GRANGER SMITH,2016-01-02,93 ,Backroad Song
93,G-EAZY,2016-01-02,94 ,Random
94,JUSTIN BIEBER,2016-01-02,95 ,Company
95,JUSTIN BIEBER featuring BIG SEAN,2016-01-02,96 ,No Pressure
96,RICK ROSS featuring CHRIS BROWN,2016-01-02,97 ,Sorry
97,G-EAZY featuring CHRIS BROWN & TORY LANEZ,2016-01-02,98 ,Drifting
98,CHRIS BROWN,2016-01-02,99 ,Liquor
99,ZAC BROWN BAND,2016-01-02,100,Beautiful Drug
0,ADELE,2016-01-09,1  ,Hello
1,JUSTIN BIEBER,2016-01-09,2  ,Sorry
2,DRAKE,2016-01-09,3  ,Hotline Bling
3,JUSTIN BIEBER,2016-01-09,4  ,Love Yourself
4,JUSTIN BIEBER,2016-01-09,5  ,What Do You Mean?
5,SELENA GOMEZ,2016-01-09,6  ,Same Old Love
6,THE WEEKND,2016-01-09,7  ,The Hills
7,ALESSIA CARA,2016-01-09,8  ,Here
8,SHAWN MENDES,2016-01-09,9  ,Stitches
9,MEGHAN TRAINOR featuring JOHN LEGEND,2016-01-09,10 ,Like I'm Gonna Lose You
10,FETTY WAP featuring REMY BOYZ,2016-01-09,11 ,679
11,THE WEEKND,2016-01-09,12 ,In The Night
12,DRAKE & FUTURE,2016-01-09,13 ,Jumpman
13,ELLIE GOULDING,2016-01-09,14 ,On My Mind
14,THE WEEKND,2016-01-09,15 ,Can't Feel My Face
15,TRAVI$ SCOTT,2016-01-09,16 ,Antidote
16,ELLE KING,2016-01-09,17 ,Ex's & Oh's
17,MARIAH CAREY,2016-01-09,18 ,All I Want For Christmas Is You
18,TWENTY ONE PILOTS,2016-01-09,19 ,Stressed Out
19,BRYSON TILLER,2016-01-09,20 ,Don't
20,THOMAS RHETT,2016-01-09,21 ,Die A Happy Man
21,POST MALONE,2016-01-09,22 ,White Iverson
22,TAYLOR SWIFT,2016-01-09,23 ,Wildest Dreams
23,JORDAN SMITH,2016-01-09,24 ,Mary Did You Know
