,artist,date,rank,song
0,JUSTIN BIEBER,2016-03-05,1  ,Love Yourself
1,TWENTY ONE PILOTS,2016-03-05,2  ,Stressed Out
2,JUSTIN BIEBER,2016-03-05,3  ,Sorry
3,RIHANNA featuring DRAKE,2016-03-05,4  ,Work
4,FLO RIDA,2016-03-05,5  ,My House
5,ADELE,2016-03-05,6  ,Hello
6,ZAYN,2016-03-05,7  ,Pillowtalk
7,G-EAZY & BEBE REXHA,2016-03-05,8  ,"Me, Myself & I"
8,THE CHAINSMOKERS featuring ROZES,2016-03-05,9  ,Roses
9,SHAWN MENDES,2016-03-05,10 ,Stitches
10,DNCE,2016-03-05,11 ,Cake By The Ocean
11,SELENA GOMEZ,2016-03-05,12 ,Hands To Myself
12,COLDPLAY,2016-03-05,13 ,Adventure Of A Lifetime
13,THE WEEKND,2016-03-05,14 ,In The Night
14,CHARLIE PUTH,2016-03-05,15 ,One Call Away
15,DRAKE,2016-03-05,16 ,Hotline Bling
16,BRYSON TILLER,2016-03-05,17 ,Don't
17,SELENA GOMEZ,2016-03-05,18 ,Same Old Love
18,ALESSIA CARA,2016-03-05,19 ,Here
19,ADELE,2016-03-05,20 ,When We Were Young
20,YO GOTTI,2016-03-05,21 ,Down In The DM
21,DRAKE & FUTURE,2016-03-05,22 ,Jumpman
22,JUSTIN BIEBER,2016-03-05,23 ,What Do You Mean?
23,DAYA,2016-03-05,24 ,Hide Away
24,THE WEEKND,2016-03-05,25 ,The Hills
25,DRAKE,2016-03-05,26 ,Summer Sixteen
26,MEGHAN TRAINOR featuring JOHN LEGEND,2016-03-05,27 ,Like I'm Gonna Lose You
27,SHAWN MENDES & CAMILA CABELLO,2016-03-05,28 ,I Know What You Did Last Summer
28,TORY LANEZ,2016-03-05,29 ,Say It
29,THOMAS RHETT,2016-03-05,30 ,Die A Happy Man
30,FETTY WAP featuring REMY BOYZ,2016-03-05,31 ,679
31,TRAVI$ SCOTT,2016-03-05,32 ,Antidote
32,MIKE POSNER,2016-03-05,33 ,I Took A Pill In Ibiza
33,POST MALONE,2016-03-05,34 ,White Iverson
34,LUKAS GRAHAM,2016-03-05,35 ,7 Years
35,ELLE KING,2016-03-05,36 ,Ex's & Oh's
36,RACHEL PLATTEN,2016-03-05,37 ,Stand By You
37,TAYLOR SWIFT,2016-03-05,38 ,Wildest Dreams
38,BRYSON TILLER,2016-03-05,39 ,Exchange
39,SAM HUNT,2016-03-05,40 ,Break Up In A Small Town
40,ELLIE GOULDING,2016-03-05,41 ,On My Mind
41,THE WEEKND,2016-03-05,42 ,Can't Feel My Face
42,LUKE BRYAN featuring KAREN FAIRCHILD,2016-03-05,43 ,Home Alone Tonight
43,KEVIN GATES,2016-03-05,44 ,2 Phones
44,WIZ KHALIFA featuring CHARLIE PUTH,2016-03-05,45 ,See You Again
45,MAJOR LAZER x DJ SNAKE featuring M0,2016-03-05,46 ,Lean On
46,SILENTO,2016-03-05,47 ,Watch Me
47,JEREMIH,2016-03-05,48 ,Oui
48,GRANGER SMITH,2016-03-05,49 ,Backroad Song
49,CHRIS BROWN,2016-03-05,50 ,Back To Sleep
50,TAYLOR SWIFT,2016-03-05,51 ,Out Of The Woods
51,FUTURE featuring THE WEEKND,2016-03-05,52 ,Low Life
52,YOUNG THUG,2016-03-05,53 ,Best Friend
53,COLE SWINDELL,2016-03-05,54 ,You Should Be Here
54,CARRIE UNDERWOOD,2016-03-05,55 ,Heartbeat
55,JASON DERULO,2016-03-05,56 ,Get Ugly
