,diff_0,target
0,75.0,67.0
1,67.0,61.0
2,61.0,54.0
3,54.0,40.0
4,40.0,30.0
5,30.0,23.0
6,23.0,23.0
7,23.0,22.0
8,22.0,22.0
9,22.0,25.0
10,25.0,25.0
11,25.0,25.0
12,25.0,24.0
13,24.0,24.0
14,24.0,32.0
15,32.0,41.0
16,41.0,54.0
17,54.0,63.0
18,63.0,72.0
19,72.0,101.0
20,24.0,20.0
21,20.0,20.0
22,20.0,17.0
23,17.0,15.0
24,15.0,15.0
25,15.0,16.0
26,16.0,17.0
27,17.0,17.0
28,17.0,23.0
29,23.0,37.0
30,37.0,54.0
31,54.0,60.0
32,60.0,73.0
33,73.0,86.0
34,86.0,95.0
35,95.0,101.0
36,55.0,28.0
37,28.0,18.0
38,18.0,16.0
39,16.0,18.0
40,18.0,20.0
41,20.0,33.0
42,33.0,45.0
43,45.0,61.0
44,61.0,79.0
45,79.0,95.0
46,95.0,101.0
47,42.0,60.0
48,60.0,65.0
49,65.0,60.0
50,60.0,43.0
51,43.0,17.0
52,17.0,19.0
53,19.0,20.0
54,20.0,19.0
55,19.0,19.0
56,19.0,21.0
57,21.0,33.0
58,33.0,54.0
59,54.0,61.0
60,61.0,71.0
61,71.0,85.0
62,85.0,101.0
63,71.0,101.0
64,98.0,100.0
65,100.0,94.0
66,94.0,89.0
67,89.0,93.0
68,93.0,101.0
69,87.0,81.0
70,81.0,73.0
71,73.0,78.0
72,78.0,77.0
73,77.0,77.0
74,77.0,73.0
75,73.0,80.0
76,80.0,82.0
77,82.0,89.0
78,89.0,95.0
79,95.0,95.0
80,95.0,89.0
81,89.0,101.0
82,25.0,17.0
83,17.0,12.0
84,12.0,11.0
85,11.0,8.0
86,8.0,6.0
87,6.0,5.0
88,5.0,4.0
89,4.0,4.0
90,4.0,4.0
91,4.0,5.0
92,5.0,5.0
93,5.0,6.0
94,6.0,8.0
95,8.0,9.0
96,9.0,10.0
97,10.0,10.0
98,10.0,7.0
99,7.0,7.0
100,7.0,7.0
101,7.0,10.0
102,10.0,43.0
103,43.0,101.0
104,58.0,55.0
105,55.0,54.0
106,54.0,57.0
107,57.0,67.0
108,67.0,75.0
109,75.0,77.0
110,77.0,79.0
111,79.0,79.0
112,79.0,83.0
113,83.0,91.0
114,91.0,101.0
115,84.0,78.0
116,78.0,68.0
117,68.0,60.0
118,60.0,101.0
119,92.0,90.0
120,90.0,86.0
121,86.0,85.0
122,85.0,79.0
123,79.0,82.0
124,82.0,69.0
125,69.0,64.0
126,64.0,59.0
127,59.0,63.0
128,63.0,59.0
129,59.0,63.0
130,63.0,58.0
131,58.0,72.0
132,72.0,82.0
133,82.0,94.0
134,94.0,101.0
135,93.0,80.0
136,80.0,63.0
137,63.0,54.0
138,54.0,43.0
139,43.0,32.0
140,32.0,25.0
141,25.0,15.0
142,15.0,12.0
143,12.0,8.0
144,8.0,6.0
145,6.0,4.0
146,4.0,1.0
147,1.0,3.0
148,3.0,6.0
149,6.0,10.0
150,10.0,16.0
151,16.0,25.0
152,25.0,34.0
153,34.0,41.0
154,41.0,51.0
155,51.0,56.0
156,56.0,75.0
157,75.0,87.0
158,87.0,94.0
159,94.0,94.0
160,94.0,101.0
161,80.0,101.0
162,53.0,31.0
163,31.0,14.0
164,14.0,4.0
165,4.0,1.0
166,1.0,1.0
167,1.0,1.0
168,1.0,1.0
169,1.0,1.0
170,1.0,1.0
171,1.0,1.0
172,1.0,3.0
173,3.0,6.0
174,6.0,12.0
175,12.0,13.0
176,13.0,23.0
177,23.0,33.0
178,33.0,40.0
179,40.0,46.0
180,46.0,60.0
181,60.0,64.0
182,64.0,75.0
183,75.0,101.0
184,85.0,76.0
185,76.0,73.0
186,73.0,70.0
187,70.0,75.0
188,75.0,85.0
189,85.0,94.0
190,94.0,101.0
191,60.0,57.0
192,57.0,44.0
193,44.0,34.0
194,34.0,35.0
195,35.0,36.0
196,36.0,30.0
197,30.0,23.0
198,23.0,26.0
199,26.0,28.0
200,28.0,21.0
201,21.0,21.0
202,21.0,8.0
203,8.0,8.0
204,8.0,12.0
205,12.0,14.0
206,14.0,18.0
207,18.0,24.0
208,24.0,29.0
209,29.0,27.0
210,27.0,42.0
211,42.0,44.0
212,44.0,101.0
213,70.0,49.0
214,49.0,101.0
215,24.0,24.0
216,24.0,30.0
217,30.0,36.0
218,36.0,37.0
219,37.0,30.0
220,30.0,23.0
221,23.0,21.0
222,21.0,17.0
223,17.0,17.0
224,17.0,15.0
225,15.0,11.0
226,11.0,11.0
227,11.0,10.0
228,10.0,7.0
229,7.0,7.0
230,7.0,8.0
231,8.0,10.0
232,10.0,11.0
233,11.0,12.0
234,12.0,12.0
235,12.0,17.0
236,17.0,19.0
237,19.0,23.0
238,23.0,33.0
239,33.0,37.0
240,37.0,36.0
241,36.0,49.0
242,49.0,101.0
243,100.0,99.0
244,99.0,96.0
245,96.0,76.0
246,76.0,55.0
247,55.0,37.0
248,37.0,101.0
249,84.0,78.0
250,78.0,74.0
251,74.0,74.0
252,74.0,77.0
253,77.0,79.0
254,79.0,76.0
255,76.0,70.0
256,70.0,70.0
257,70.0,73.0
258,73.0,71.0
259,71.0,77.0
260,77.0,81.0
261,81.0,67.0
262,67.0,68.0
263,68.0,67.0
264,67.0,78.0
265,78.0,91.0
266,91.0,91.0
267,91.0,96.0
268,96.0,101.0
269,75.0,68.0
270,68.0,63.0
271,63.0,60.0
272,60.0,55.0
273,55.0,55.0
274,55.0,55.0
