,diff_0,diff_1,target
0,75.0,67.0,61.0
1,67.0,61.0,54.0
2,61.0,54.0,40.0
3,54.0,40.0,30.0
4,40.0,30.0,23.0
5,30.0,23.0,23.0
6,23.0,23.0,22.0
7,23.0,22.0,22.0
8,22.0,22.0,25.0
9,22.0,25.0,25.0
10,25.0,25.0,25.0
11,25.0,25.0,24.0
12,25.0,24.0,24.0
13,24.0,24.0,32.0
14,24.0,32.0,41.0
15,32.0,41.0,54.0
16,41.0,54.0,63.0
17,54.0,63.0,72.0
18,63.0,72.0,101.0
19,24.0,20.0,20.0
20,20.0,20.0,17.0
21,20.0,17.0,15.0
22,17.0,15.0,15.0
23,15.0,15.0,16.0
24,15.0,16.0,17.0
25,16.0,17.0,17.0
26,17.0,17.0,23.0
27,17.0,23.0,37.0
28,23.0,37.0,54.0
29,37.0,54.0,60.0
30,54.0,60.0,73.0
31,60.0,73.0,86.0
32,73.0,86.0,95.0
33,86.0,95.0,101.0
34,55.0,28.0,18.0
35,28.0,18.0,16.0
36,18.0,16.0,18.0
37,16.0,18.0,20.0
38,18.0,20.0,33.0
39,20.0,33.0,45.0
40,33.0,45.0,61.0
41,45.0,61.0,79.0
42,61.0,79.0,95.0
43,79.0,95.0,101.0
44,42.0,60.0,65.0
45,60.0,65.0,60.0
46,65.0,60.0,43.0
47,60.0,43.0,17.0
48,43.0,17.0,19.0
49,17.0,19.0,20.0
50,19.0,20.0,19.0
51,20.0,19.0,19.0
52,19.0,19.0,21.0
53,19.0,21.0,33.0
54,21.0,33.0,54.0
55,33.0,54.0,61.0
56,54.0,61.0,71.0
57,61.0,71.0,85.0
58,71.0,85.0,101.0
59,98.0,100.0,94.0
60,100.0,94.0,89.0
61,94.0,89.0,93.0
62,89.0,93.0,101.0
63,87.0,81.0,73.0
64,81.0,73.0,78.0
65,73.0,78.0,77.0
66,78.0,77.0,77.0
67,77.0,77.0,73.0
68,77.0,73.0,80.0
69,73.0,80.0,82.0
70,80.0,82.0,89.0
71,82.0,89.0,95.0
72,89.0,95.0,95.0
73,95.0,95.0,89.0
74,95.0,89.0,101.0
75,25.0,17.0,12.0
76,17.0,12.0,11.0
77,12.0,11.0,8.0
78,11.0,8.0,6.0
79,8.0,6.0,5.0
80,6.0,5.0,4.0
81,5.0,4.0,4.0
82,4.0,4.0,4.0
83,4.0,4.0,5.0
84,4.0,5.0,5.0
85,5.0,5.0,6.0
86,5.0,6.0,8.0
87,6.0,8.0,9.0
88,8.0,9.0,10.0
89,9.0,10.0,10.0
90,10.0,10.0,7.0
91,10.0,7.0,7.0
92,7.0,7.0,7.0
93,7.0,7.0,10.0
94,7.0,10.0,43.0
95,10.0,43.0,101.0
96,58.0,55.0,54.0
97,55.0,54.0,57.0
98,54.0,57.0,67.0
99,57.0,67.0,75.0
100,67.0,75.0,77.0
101,75.0,77.0,79.0
102,77.0,79.0,79.0
103,79.0,79.0,83.0
104,79.0,83.0,91.0
105,83.0,91.0,101.0
106,84.0,78.0,68.0
107,78.0,68.0,60.0
108,68.0,60.0,101.0
109,92.0,90.0,86.0
110,90.0,86.0,85.0
111,86.0,85.0,79.0
112,85.0,79.0,82.0
113,79.0,82.0,69.0
114,82.0,69.0,64.0
115,69.0,64.0,59.0
116,64.0,59.0,63.0
117,59.0,63.0,59.0
118,63.0,59.0,63.0
119,59.0,63.0,58.0
120,63.0,58.0,72.0
121,58.0,72.0,82.0
122,72.0,82.0,94.0
123,82.0,94.0,101.0
124,93.0,80.0,63.0
125,80.0,63.0,54.0
126,63.0,54.0,43.0
127,54.0,43.0,32.0
128,43.0,32.0,25.0
129,32.0,25.0,15.0
130,25.0,15.0,12.0
131,15.0,12.0,8.0
132,12.0,8.0,6.0
133,8.0,6.0,4.0
134,6.0,4.0,1.0
135,4.0,1.0,3.0
136,1.0,3.0,6.0
137,3.0,6.0,10.0
138,6.0,10.0,16.0
139,10.0,16.0,25.0
140,16.0,25.0,34.0
141,25.0,34.0,41.0
142,34.0,41.0,51.0
143,41.0,51.0,56.0
144,51.0,56.0,75.0
145,56.0,75.0,87.0
146,75.0,87.0,94.0
147,87.0,94.0,94.0
148,94.0,94.0,101.0
149,53.0,31.0,14.0
150,31.0,14.0,4.0
151,14.0,4.0,1.0
152,4.0,1.0,1.0
153,1.0,1.0,1.0
154,1.0,1.0,1.0
155,1.0,1.0,1.0
156,1.0,1.0,1.0
157,1.0,1.0,1.0
158,1.0,1.0,3.0
159,1.0,3.0,6.0
160,3.0,6.0,12.0
161,6.0,12.0,13.0
162,12.0,13.0,23.0
163,13.0,23.0,33.0
164,23.0,33.0,40.0
165,33.0,40.0,46.0
166,40.0,46.0,60.0
167,46.0,60.0,64.0
168,60.0,64.0,75.0
169,64.0,75.0,101.0
170,85.0,76.0,73.0
171,76.0,73.0,70.0
172,73.0,70.0,75.0
173,70.0,75.0,85.0
174,75.0,85.0,94.0
175,85.0,94.0,101.0
176,60.0,57.0,44.0
177,57.0,44.0,34.0
178,44.0,34.0,35.0
179,34.0,35.0,36.0
180,35.0,36.0,30.0
181,36.0,30.0,23.0
182,30.0,23.0,26.0
183,23.0,26.0,28.0
184,26.0,28.0,21.0
185,28.0,21.0,21.0
186,21.0,21.0,8.0
187,21.0,8.0,8.0
188,8.0,8.0,12.0
189,8.0,12.0,14.0
190,12.0,14.0,18.0
191,14.0,18.0,24.0
192,18.0,24.0,29.0
193,24.0,29.0,27.0
194,29.0,27.0,42.0
195,27.0,42.0,44.0
196,42.0,44.0,101.0
197,70.0,49.0,101.0
198,24.0,24.0,30.0
199,24.0,30.0,36.0
200,30.0,36.0,37.0
201,36.0,37.0,30.0
202,37.0,30.0,23.0
203,30.0,23.0,21.0
204,23.0,21.0,17.0
205,21.0,17.0,17.0
206,17.0,17.0,15.0
207,17.0,15.0,11.0
208,15.0,11.0,11.0
209,11.0,11.0,10.0
210,11.0,10.0,7.0
211,10.0,7.0,7.0
212,7.0,7.0,8.0
213,7.0,8.0,10.0
214,8.0,10.0,11.0
215,10.0,11.0,12.0
216,11.0,12.0,12.0
217,12.0,12.0,17.0
218,12.0,17.0,19.0
219,17.0,19.0,23.0
220,19.0,23.0,33.0
221,23.0,33.0,37.0
222,33.0,37.0,36.0
223,37.0,36.0,49.0
224,36.0,49.0,101.0
225,100.0,99.0,96.0
226,99.0,96.0,76.0
227,96.0,76.0,55.0
228,76.0,55.0,37.0
229,55.0,37.0,101.0
230,84.0,78.0,74.0
231,78.0,74.0,74.0
232,74.0,74.0,77.0
233,74.0,77.0,79.0
234,77.0,79.0,76.0
235,79.0,76.0,70.0
236,76.0,70.0,70.0
237,70.0,70.0,73.0
238,70.0,73.0,71.0
239,73.0,71.0,77.0
240,71.0,77.0,81.0
241,77.0,81.0,67.0
242,81.0,67.0,68.0
243,67.0,68.0,67.0
244,68.0,67.0,78.0
245,67.0,78.0,91.0
246,78.0,91.0,91.0
247,91.0,91.0,96.0
248,91.0,96.0,101.0
249,75.0,68.0,63.0
250,68.0,63.0,60.0
251,63.0,60.0,55.0
252,60.0,55.0,55.0
253,55.0,55.0,55.0
254,55.0,55.0,64.0
255,55.0,64.0,64.0
256,64.0,64.0,67.0
257,64.0,67.0,71.0
258,67.0,71.0,75.0
259,71.0,75.0,71.0
260,75.0,71.0,71.0
261,71.0,71.0,73.0
262,71.0,73.0,70.0
263,73.0,70.0,68.0
264,70.0,68.0,67.0
265,68.0,67.0,69.0
266,67.0,69.0,66.0
267,69.0,66.0,101.0
268,74.0,54.0,42.0
269,54.0,42.0,40.0
270,42.0,40.0,35.0
271,40.0,35.0,35.0
272,35.0,35.0,35.0
273,35.0,35.0,35.0
274,35.0,35.0,35.0
275,35.0,35.0,39.0
276,35.0,39.0,37.0
277,39.0,37.0,37.0
278,37.0,37.0,37.0
279,37.0,37.0,59.0
280,37.0,59.0,64.0
281,59.0,64.0,67.0
282,64.0,67.0,71.0
283,67.0,71.0,82.0
284,71.0,82.0,84.0
285,82.0,84.0,98.0
286,84.0,98.0,101.0
287,98.0,100.0,101.0
288,81.0,97.0,98.0
289,97.0,98.0,93.0
290,98.0,93.0,86.0
291,93.0,86.0,95.0
292,86.0,95.0,95.0
293,95.0,95.0,101.0
294,33.0,33.0,46.0
295,33.0,46.0,64.0
296,46.0,64.0,78.0
297,64.0,78.0,92.0
298,78.0,92.0,101.0
299,35.0,70.0,91.0
300,70.0,91.0,100.0
301,91.0,100.0,101.0
302,97.0,88.0,85.0
303,88.0,85.0,83.0
304,85.0,83.0,84.0
305,83.0,84.0,81.0
306,84.0,81.0,72.0
307,81.0,72.0,44.0
308,72.0,44.0,54.0
309,44.0,54.0,55.0
310,54.0,55.0,51.0
311,55.0,51.0,48.0
312,51.0,48.0,45.0
313,48.0,45.0,43.0
314,45.0,43.0,40.0
315,43.0,40.0,36.0
316,40.0,36.0,36.0
317,36.0,36.0,34.0
318,36.0,34.0,39.0
319,34.0,39.0,46.0
320,39.0,46.0,101.0
321,40.0,37.0,33.0
322,37.0,33.0,31.0
323,33.0,31.0,36.0
324,31.0,36.0,37.0
325,36.0,37.0,42.0
326,37.0,42.0,52.0
327,42.0,52.0,61.0
328,52.0,61.0,81.0
329,61.0,81.0,87.0
330,81.0,87.0,96.0
331,87.0,96.0,101.0
332,93.0,68.0,43.0
333,68.0,43.0,101.0
334,81.0,65.0,43.0
335,65.0,43.0,101.0
336,33.0,42.0,56.0
337,42.0,56.0,70.0
338,56.0,70.0,90.0
339,70.0,90.0,101.0
340,82.0,80.0,78.0
341,80.0,78.0,78.0
342,78.0,78.0,75.0
343,78.0,75.0,78.0
344,75.0,78.0,72.0
345,78.0,72.0,72.0
346,72.0,72.0,78.0
347,72.0,78.0,82.0
348,78.0,82.0,93.0
349,82.0,93.0,101.0
350,95.0,89.0,89.0
351,89.0,89.0,96.0
352,89.0,96.0,100.0
353,96.0,100.0,101.0
354,93.0,87.0,87.0
355,87.0,87.0,78.0
356,87.0,78.0,77.0
357,78.0,77.0,71.0
358,77.0,71.0,64.0
359,71.0,64.0,70.0
360,64.0,70.0,69.0
361,70.0,69.0,67.0
362,69.0,67.0,60.0
363,67.0,60.0,57.0
364,60.0,57.0,62.0
365,57.0,62.0,63.0
366,62.0,63.0,60.0
367,63.0,60.0,64.0
368,60.0,64.0,63.0
369,64.0,63.0,65.0
370,63.0,65.0,70.0
371,65.0,70.0,71.0
372,70.0,71.0,101.0
373,48.0,46.0,44.0
374,46.0,44.0,54.0
375,44.0,54.0,75.0
376,54.0,75.0,84.0
377,75.0,84.0,96.0
378,84.0,96.0,101.0
379,80.0,67.0,63.0
380,67.0,63.0,53.0
381,63.0,53.0,48.0
382,53.0,48.0,101.0
383,84.0,79.0,73.0
384,79.0,73.0,68.0
385,73.0,68.0,56.0
386,68.0,56.0,54.0
387,56.0,54.0,49.0
388,54.0,49.0,41.0
389,49.0,41.0,40.0
390,41.0,40.0,34.0
391,40.0,34.0,33.0
392,34.0,33.0,31.0
393,33.0,31.0,30.0
394,31.0,30.0,30.0
395,30.0,30.0,38.0
396,30.0,38.0,44.0
