,diff_0,diff_1,diff_2,target
0,75.0,67.0,61.0,54.0
1,67.0,61.0,54.0,40.0
2,61.0,54.0,40.0,30.0
3,54.0,40.0,30.0,23.0
4,40.0,30.0,23.0,23.0
5,30.0,23.0,23.0,22.0
6,23.0,23.0,22.0,22.0
7,23.0,22.0,22.0,25.0
8,22.0,22.0,25.0,25.0
9,22.0,25.0,25.0,25.0
10,25.0,25.0,25.0,24.0
11,25.0,25.0,24.0,24.0
12,25.0,24.0,24.0,32.0
13,24.0,24.0,32.0,41.0
14,24.0,32.0,41.0,54.0
15,32.0,41.0,54.0,63.0
16,41.0,54.0,63.0,72.0
17,54.0,63.0,72.0,101.0
18,24.0,20.0,20.0,17.0
19,20.0,20.0,17.0,15.0
20,20.0,17.0,15.0,15.0
21,17.0,15.0,15.0,16.0
22,15.0,15.0,16.0,17.0
23,15.0,16.0,17.0,17.0
24,16.0,17.0,17.0,23.0
25,17.0,17.0,23.0,37.0
26,17.0,23.0,37.0,54.0
27,23.0,37.0,54.0,60.0
28,37.0,54.0,60.0,73.0
29,54.0,60.0,73.0,86.0
30,60.0,73.0,86.0,95.0
31,73.0,86.0,95.0,101.0
32,55.0,28.0,18.0,16.0
33,28.0,18.0,16.0,18.0
34,18.0,16.0,18.0,20.0
35,16.0,18.0,20.0,33.0
36,18.0,20.0,33.0,45.0
37,20.0,33.0,45.0,61.0
38,33.0,45.0,61.0,79.0
39,45.0,61.0,79.0,95.0
40,61.0,79.0,95.0,101.0
41,42.0,60.0,65.0,60.0
42,60.0,65.0,60.0,43.0
43,65.0,60.0,43.0,17.0
44,60.0,43.0,17.0,19.0
45,43.0,17.0,19.0,20.0
46,17.0,19.0,20.0,19.0
47,19.0,20.0,19.0,19.0
48,20.0,19.0,19.0,21.0
49,19.0,19.0,21.0,33.0
50,19.0,21.0,33.0,54.0
51,21.0,33.0,54.0,61.0
52,33.0,54.0,61.0,71.0
53,54.0,61.0,71.0,85.0
54,61.0,71.0,85.0,101.0
55,98.0,100.0,94.0,89.0
56,100.0,94.0,89.0,93.0
57,94.0,89.0,93.0,101.0
58,87.0,81.0,73.0,78.0
59,81.0,73.0,78.0,77.0
60,73.0,78.0,77.0,77.0
61,78.0,77.0,77.0,73.0
62,77.0,77.0,73.0,80.0
63,77.0,73.0,80.0,82.0
64,73.0,80.0,82.0,89.0
65,80.0,82.0,89.0,95.0
66,82.0,89.0,95.0,95.0
67,89.0,95.0,95.0,89.0
68,95.0,95.0,89.0,101.0
69,25.0,17.0,12.0,11.0
70,17.0,12.0,11.0,8.0
71,12.0,11.0,8.0,6.0
72,11.0,8.0,6.0,5.0
73,8.0,6.0,5.0,4.0
74,6.0,5.0,4.0,4.0
75,5.0,4.0,4.0,4.0
76,4.0,4.0,4.0,5.0
77,4.0,4.0,5.0,5.0
78,4.0,5.0,5.0,6.0
79,5.0,5.0,6.0,8.0
80,5.0,6.0,8.0,9.0
81,6.0,8.0,9.0,10.0
82,8.0,9.0,10.0,10.0
83,9.0,10.0,10.0,7.0
84,10.0,10.0,7.0,7.0
85,10.0,7.0,7.0,7.0
86,7.0,7.0,7.0,10.0
