,diff_0,diff_1,diff_2,diff_3,target
0,75.0,67.0,61.0,54.0,40.0
1,67.0,61.0,54.0,40.0,30.0
2,61.0,54.0,40.0,30.0,23.0
3,54.0,40.0,30.0,23.0,23.0
4,40.0,30.0,23.0,23.0,22.0
5,30.0,23.0,23.0,22.0,22.0
6,23.0,23.0,22.0,22.0,25.0
7,23.0,22.0,22.0,25.0,25.0
8,22.0,22.0,25.0,25.0,25.0
9,22.0,25.0,25.0,25.0,24.0
10,25.0,25.0,25.0,24.0,24.0
11,25.0,25.0,24.0,24.0,32.0
12,25.0,24.0,24.0,32.0,41.0
13,24.0,24.0,32.0,41.0,54.0
14,24.0,32.0,41.0,54.0,63.0
15,32.0,41.0,54.0,63.0,72.0
16,41.0,54.0,63.0,72.0,101.0
17,24.0,20.0,20.0,17.0,15.0
18,20.0,20.0,17.0,15.0,15.0
19,20.0,17.0,15.0,15.0,16.0
20,17.0,15.0,15.0,16.0,17.0
21,15.0,15.0,16.0,17.0,17.0
22,15.0,16.0,17.0,17.0,23.0
23,16.0,17.0,17.0,23.0,37.0
24,17.0,17.0,23.0,37.0,54.0
25,17.0,23.0,37.0,54.0,60.0
26,23.0,37.0,54.0,60.0,73.0
27,37.0,54.0,60.0,73.0,86.0
28,54.0,60.0,73.0,86.0,95.0
29,60.0,73.0,86.0,95.0,101.0
30,55.0,28.0,18.0,16.0,18.0
31,28.0,18.0,16.0,18.0,20.0
32,18.0,16.0,18.0,20.0,33.0
33,16.0,18.0,20.0,33.0,45.0
34,18.0,20.0,33.0,45.0,61.0
35,20.0,33.0,45.0,61.0,79.0
36,33.0,45.0,61.0,79.0,95.0
37,45.0,61.0,79.0,95.0,101.0
38,42.0,60.0,65.0,60.0,43.0
39,60.0,65.0,60.0,43.0,17.0
40,65.0,60.0,43.0,17.0,19.0
41,60.0,43.0,17.0,19.0,20.0
42,43.0,17.0,19.0,20.0,19.0
43,17.0,19.0,20.0,19.0,19.0
44,19.0,20.0,19.0,19.0,21.0
45,20.0,19.0,19.0,21.0,33.0
46,19.0,19.0,21.0,33.0,54.0
47,19.0,21.0,33.0,54.0,61.0
48,21.0,33.0,54.0,61.0,71.0
49,33.0,54.0,61.0,71.0,85.0
50,54.0,61.0,71.0,85.0,101.0
51,98.0,100.0,94.0,89.0,93.0
52,100.0,94.0,89.0,93.0,101.0
53,87.0,81.0,73.0,78.0,77.0
54,81.0,73.0,78.0,77.0,77.0
55,73.0,78.0,77.0,77.0,73.0
56,78.0,77.0,77.0,73.0,80.0
57,77.0,77.0,73.0,80.0,82.0
58,77.0,73.0,80.0,82.0,89.0
59,73.0,80.0,82.0,89.0,95.0
60,80.0,82.0,89.0,95.0,95.0
61,82.0,89.0,95.0,95.0,89.0
62,89.0,95.0,95.0,89.0,101.0
63,25.0,17.0,12.0,11.0,8.0
64,17.0,12.0,11.0,8.0,6.0
65,12.0,11.0,8.0,6.0,5.0
66,11.0,8.0,6.0,5.0,4.0
67,8.0,6.0,5.0,4.0,4.0
68,6.0,5.0,4.0,4.0,4.0
69,5.0,4.0,4.0,4.0,5.0
70,4.0,4.0,4.0,5.0,5.0
71,4.0,4.0,5.0,5.0,6.0
72,4.0,5.0,5.0,6.0,8.0
73,5.0,5.0,6.0,8.0,9.0
74,5.0,6.0,8.0,9.0,10.0
75,6.0,8.0,9.0,10.0,10.0
76,8.0,9.0,10.0,10.0,7.0
77,9.0,10.0,10.0,7.0,7.0
78,10.0,10.0,7.0,7.0,7.0
79,10.0,7.0,7.0,7.0,10.0
80,7.0,7.0,7.0,10.0,43.0
81,7.0,7.0,10.0,43.0,101.0
82,58.0,55.0,54.0,57.0,67.0
83,55.0,54.0,57.0,67.0,75.0
84,54.0,57.0,67.0,75.0,77.0
85,57.0,67.0,75.0,77.0,79.0
86,67.0,75.0,77.0,79.0,79.0
87,75.0,77.0,79.0,79.0,83.0
88,77.0,79.0,79.0,83.0,91.0
89,79.0,79.0,83.0,91.0,101.0
90,84.0,78.0,68.0,60.0,101.0
91,92.0,90.0,86.0,85.0,79.0
92,90.0,86.0,85.0,79.0,82.0
93,86.0,85.0,79.0,82.0,69.0
94,85.0,79.0,82.0,69.0,64.0
95,79.0,82.0,69.0,64.0,59.0
96,82.0,69.0,64.0,59.0,63.0
97,69.0,64.0,59.0,63.0,59.0
98,64.0,59.0,63.0,59.0,63.0
99,59.0,63.0,59.0,63.0,58.0
100,63.0,59.0,63.0,58.0,72.0
101,59.0,63.0,58.0,72.0,82.0
102,63.0,58.0,72.0,82.0,94.0
103,58.0,72.0,82.0,94.0,101.0
104,93.0,80.0,63.0,54.0,43.0
105,80.0,63.0,54.0,43.0,32.0
106,63.0,54.0,43.0,32.0,25.0
107,54.0,43.0,32.0,25.0,15.0
108,43.0,32.0,25.0,15.0,12.0
109,32.0,25.0,15.0,12.0,8.0
110,25.0,15.0,12.0,8.0,6.0
111,15.0,12.0,8.0,6.0,4.0
112,12.0,8.0,6.0,4.0,1.0
113,8.0,6.0,4.0,1.0,3.0
114,6.0,4.0,1.0,3.0,6.0
115,4.0,1.0,3.0,6.0,10.0
116,1.0,3.0,6.0,10.0,16.0
117,3.0,6.0,10.0,16.0,25.0
118,6.0,10.0,16.0,25.0,34.0
119,10.0,16.0,25.0,34.0,41.0
120,16.0,25.0,34.0,41.0,51.0
121,25.0,34.0,41.0,51.0,56.0
122,34.0,41.0,51.0,56.0,75.0
123,41.0,51.0,56.0,75.0,87.0
124,51.0,56.0,75.0,87.0,94.0
125,56.0,75.0,87.0,94.0,94.0
126,75.0,87.0,94.0,94.0,101.0
127,53.0,31.0,14.0,4.0,1.0
128,31.0,14.0,4.0,1.0,1.0
129,14.0,4.0,1.0,1.0,1.0
130,4.0,1.0,1.0,1.0,1.0
131,1.0,1.0,1.0,1.0,1.0
132,1.0,1.0,1.0,1.0,1.0
133,1.0,1.0,1.0,1.0,1.0
134,1.0,1.0,1.0,1.0,3.0
135,1.0,1.0,1.0,3.0,6.0
136,1.0,1.0,3.0,6.0,12.0
137,1.0,3.0,6.0,12.0,13.0
138,3.0,6.0,12.0,13.0,23.0
139,6.0,12.0,13.0,23.0,33.0
140,12.0,13.0,23.0,33.0,40.0
141,13.0,23.0,33.0,40.0,46.0
142,23.0,33.0,40.0,46.0,60.0
143,33.0,40.0,46.0,60.0,64.0
144,40.0,46.0,60.0,64.0,75.0
145,46.0,60.0,64.0,75.0,101.0
146,85.0,76.0,73.0,70.0,75.0
147,76.0,73.0,70.0,75.0,85.0
148,73.0,70.0,75.0,85.0,94.0
149,70.0,75.0,85.0,94.0,101.0
150,60.0,57.0,44.0,34.0,35.0
151,57.0,44.0,34.0,35.0,36.0
152,44.0,34.0,35.0,36.0,30.0
153,34.0,35.0,36.0,30.0,23.0
154,35.0,36.0,30.0,23.0,26.0
155,36.0,30.0,23.0,26.0,28.0
156,30.0,23.0,26.0,28.0,21.0
157,23.0,26.0,28.0,21.0,21.0
158,26.0,28.0,21.0,21.0,8.0
159,28.0,21.0,21.0,8.0,8.0
160,21.0,21.0,8.0,8.0,12.0
161,21.0,8.0,8.0,12.0,14.0
162,8.0,8.0,12.0,14.0,18.0
163,8.0,12.0,14.0,18.0,24.0
164,12.0,14.0,18.0,24.0,29.0
165,14.0,18.0,24.0,29.0,27.0
166,18.0,24.0,29.0,27.0,42.0
167,24.0,29.0,27.0,42.0,44.0
168,29.0,27.0,42.0,44.0,101.0
169,24.0,24.0,30.0,36.0,37.0
170,24.0,30.0,36.0,37.0,30.0
171,30.0,36.0,37.0,30.0,23.0
172,36.0,37.0,30.0,23.0,21.0
173,37.0,30.0,23.0,21.0,17.0
174,30.0,23.0,21.0,17.0,17.0
175,23.0,21.0,17.0,17.0,15.0
176,21.0,17.0,17.0,15.0,11.0
177,17.0,17.0,15.0,11.0,11.0
178,17.0,15.0,11.0,11.0,10.0
179,15.0,11.0,11.0,10.0,7.0
180,11.0,11.0,10.0,7.0,7.0
181,11.0,10.0,7.0,7.0,8.0
182,10.0,7.0,7.0,8.0,10.0
183,7.0,7.0,8.0,10.0,11.0
184,7.0,8.0,10.0,11.0,12.0
185,8.0,10.0,11.0,12.0,12.0
186,10.0,11.0,12.0,12.0,17.0
187,11.0,12.0,12.0,17.0,19.0
188,12.0,12.0,17.0,19.0,23.0
189,12.0,17.0,19.0,23.0,33.0
190,17.0,19.0,23.0,33.0,37.0
191,19.0,23.0,33.0,37.0,36.0
192,23.0,33.0,37.0,36.0,49.0
193,33.0,37.0,36.0,49.0,101.0
194,100.0,99.0,96.0,76.0,55.0
195,99.0,96.0,76.0,55.0,37.0
196,96.0,76.0,55.0,37.0,101.0
197,84.0,78.0,74.0,74.0,77.0
198,78.0,74.0,74.0,77.0,79.0
199,74.0,74.0,77.0,79.0,76.0
200,74.0,77.0,79.0,76.0,70.0
201,77.0,79.0,76.0,70.0,70.0
202,79.0,76.0,70.0,70.0,73.0
203,76.0,70.0,70.0,73.0,71.0
204,70.0,70.0,73.0,71.0,77.0
205,70.0,73.0,71.0,77.0,81.0
206,73.0,71.0,77.0,81.0,67.0
207,71.0,77.0,81.0,67.0,68.0
