,diff_0,diff_1,diff_2,diff_3,diff_4,target
0,75.0,67.0,61.0,54.0,40.0,30.0
1,67.0,61.0,54.0,40.0,30.0,23.0
2,61.0,54.0,40.0,30.0,23.0,23.0
3,54.0,40.0,30.0,23.0,23.0,22.0
4,40.0,30.0,23.0,23.0,22.0,22.0
5,30.0,23.0,23.0,22.0,22.0,25.0
6,23.0,23.0,22.0,22.0,25.0,25.0
7,23.0,22.0,22.0,25.0,25.0,25.0
8,22.0,22.0,25.0,25.0,25.0,24.0
9,22.0,25.0,25.0,25.0,24.0,24.0
10,25.0,25.0,25.0,24.0,24.0,32.0
11,25.0,25.0,24.0,24.0,32.0,41.0
12,25.0,24.0,24.0,32.0,41.0,54.0
13,24.0,24.0,32.0,41.0,54.0,63.0
14,24.0,32.0,41.0,54.0,63.0,72.0
15,32.0,41.0,54.0,63.0,72.0,101.0
16,24.0,20.0,20.0,17.0,15.0,15.0
17,20.0,20.0,17.0,15.0,15.0,16.0
18,20.0,17.0,15.0,15.0,16.0,17.0
19,17.0,15.0,15.0,16.0,17.0,17.0
20,15.0,15.0,16.0,17.0,17.0,23.0
21,15.0,16.0,17.0,17.0,23.0,37.0
22,16.0,17.0,17.0,23.0,37.0,54.0
23,17.0,17.0,23.0,37.0,54.0,60.0
24,17.0,23.0,37.0,54.0,60.0,73.0
25,23.0,37.0,54.0,60.0,73.0,86.0
26,37.0,54.0,60.0,73.0,86.0,95.0
27,54.0,60.0,73.0,86.0,95.0,101.0
28,55.0,28.0,18.0,16.0,18.0,20.0
29,28.0,18.0,16.0,18.0,20.0,33.0
30,18.0,16.0,18.0,20.0,33.0,45.0
31,16.0,18.0,20.0,33.0,45.0,61.0
32,18.0,20.0,33.0,45.0,61.0,79.0
33,20.0,33.0,45.0,61.0,79.0,95.0
34,33.0,45.0,61.0,79.0,95.0,101.0
35,42.0,60.0,65.0,60.0,43.0,17.0
36,60.0,65.0,60.0,43.0,17.0,19.0
37,65.0,60.0,43.0,17.0,19.0,20.0
38,60.0,43.0,17.0,19.0,20.0,19.0
39,43.0,17.0,19.0,20.0,19.0,19.0
40,17.0,19.0,20.0,19.0,19.0,21.0
41,19.0,20.0,19.0,19.0,21.0,33.0
42,20.0,19.0,19.0,21.0,33.0,54.0
43,19.0,19.0,21.0,33.0,54.0,61.0
44,19.0,21.0,33.0,54.0,61.0,71.0
45,21.0,33.0,54.0,61.0,71.0,85.0
46,33.0,54.0,61.0,71.0,85.0,101.0
47,98.0,100.0,94.0,89.0,93.0,101.0
48,87.0,81.0,73.0,78.0,77.0,77.0
49,81.0,73.0,78.0,77.0,77.0,73.0
50,73.0,78.0,77.0,77.0,73.0,80.0
51,78.0,77.0,77.0,73.0,80.0,82.0
52,77.0,77.0,73.0,80.0,82.0,89.0
53,77.0,73.0,80.0,82.0,89.0,95.0
54,73.0,80.0,82.0,89.0,95.0,95.0
55,80.0,82.0,89.0,95.0,95.0,89.0
56,82.0,89.0,95.0,95.0,89.0,101.0
57,25.0,17.0,12.0,11.0,8.0,6.0
58,17.0,12.0,11.0,8.0,6.0,5.0
59,12.0,11.0,8.0,6.0,5.0,4.0
60,11.0,8.0,6.0,5.0,4.0,4.0
61,8.0,6.0,5.0,4.0,4.0,4.0
62,6.0,5.0,4.0,4.0,4.0,5.0
63,5.0,4.0,4.0,4.0,5.0,5.0
64,4.0,4.0,4.0,5.0,5.0,6.0
65,4.0,4.0,5.0,5.0,6.0,8.0
66,4.0,5.0,5.0,6.0,8.0,9.0
67,5.0,5.0,6.0,8.0,9.0,10.0
68,5.0,6.0,8.0,9.0,10.0,10.0
69,6.0,8.0,9.0,10.0,10.0,7.0
70,8.0,9.0,10.0,10.0,7.0,7.0
71,9.0,10.0,10.0,7.0,7.0,7.0
72,10.0,10.0,7.0,7.0,7.0,10.0
73,10.0,7.0,7.0,7.0,10.0,43.0
74,7.0,7.0,7.0,10.0,43.0,101.0
75,58.0,55.0,54.0,57.0,67.0,75.0
76,55.0,54.0,57.0,67.0,75.0,77.0
77,54.0,57.0,67.0,75.0,77.0,79.0
78,57.0,67.0,75.0,77.0,79.0,79.0
79,67.0,75.0,77.0,79.0,79.0,83.0
80,75.0,77.0,79.0,79.0,83.0,91.0
81,77.0,79.0,79.0,83.0,91.0,101.0
82,92.0,90.0,86.0,85.0,79.0,82.0
83,90.0,86.0,85.0,79.0,82.0,69.0
84,86.0,85.0,79.0,82.0,69.0,64.0
85,85.0,79.0,82.0,69.0,64.0,59.0
86,79.0,82.0,69.0,64.0,59.0,63.0
87,82.0,69.0,64.0,59.0,63.0,59.0
88,69.0,64.0,59.0,63.0,59.0,63.0
89,64.0,59.0,63.0,59.0,63.0,58.0
90,59.0,63.0,59.0,63.0,58.0,72.0
91,63.0,59.0,63.0,58.0,72.0,82.0
92,59.0,63.0,58.0,72.0,82.0,94.0
93,63.0,58.0,72.0,82.0,94.0,101.0
94,93.0,80.0,63.0,54.0,43.0,32.0
95,80.0,63.0,54.0,43.0,32.0,25.0
96,63.0,54.0,43.0,32.0,25.0,15.0
97,54.0,43.0,32.0,25.0,15.0,12.0
98,43.0,32.0,25.0,15.0,12.0,8.0
99,32.0,25.0,15.0,12.0,8.0,6.0
100,25.0,15.0,12.0,8.0,6.0,4.0
101,15.0,12.0,8.0,6.0,4.0,1.0
102,12.0,8.0,6.0,4.0,1.0,3.0
103,8.0,6.0,4.0,1.0,3.0,6.0
104,6.0,4.0,1.0,3.0,6.0,10.0
105,4.0,1.0,3.0,6.0,10.0,16.0
106,1.0,3.0,6.0,10.0,16.0,25.0
107,3.0,6.0,10.0,16.0,25.0,34.0
108,6.0,10.0,16.0,25.0,34.0,41.0
109,10.0,16.0,25.0,34.0,41.0,51.0
110,16.0,25.0,34.0,41.0,51.0,56.0
111,25.0,34.0,41.0,51.0,56.0,75.0
112,34.0,41.0,51.0,56.0,75.0,87.0
113,41.0,51.0,56.0,75.0,87.0,94.0
114,51.0,56.0,75.0,87.0,94.0,94.0
115,56.0,75.0,87.0,94.0,94.0,101.0
116,53.0,31.0,14.0,4.0,1.0,1.0
117,31.0,14.0,4.0,1.0,1.0,1.0
118,14.0,4.0,1.0,1.0,1.0,1.0
119,4.0,1.0,1.0,1.0,1.0,1.0
120,1.0,1.0,1.0,1.0,1.0,1.0
121,1.0,1.0,1.0,1.0,1.0,1.0
122,1.0,1.0,1.0,1.0,1.0,3.0
123,1.0,1.0,1.0,1.0,3.0,6.0
124,1.0,1.0,1.0,3.0,6.0,12.0
125,1.0,1.0,3.0,6.0,12.0,13.0
126,1.0,3.0,6.0,12.0,13.0,23.0
127,3.0,6.0,12.0,13.0,23.0,33.0
128,6.0,12.0,13.0,23.0,33.0,40.0
129,12.0,13.0,23.0,33.0,40.0,46.0
130,13.0,23.0,33.0,40.0,46.0,60.0
131,23.0,33.0,40.0,46.0,60.0,64.0
132,33.0,40.0,46.0,60.0,64.0,75.0
133,40.0,46.0,60.0,64.0,75.0,101.0
134,85.0,76.0,73.0,70.0,75.0,85.0
135,76.0,73.0,70.0,75.0,85.0,94.0
136,73.0,70.0,75.0,85.0,94.0,101.0
137,60.0,57.0,44.0,34.0,35.0,36.0
138,57.0,44.0,34.0,35.0,36.0,30.0
139,44.0,34.0,35.0,36.0,30.0,23.0
140,34.0,35.0,36.0,30.0,23.0,26.0
141,35.0,36.0,30.0,23.0,26.0,28.0
142,36.0,30.0,23.0,26.0,28.0,21.0
143,30.0,23.0,26.0,28.0,21.0,21.0
144,23.0,26.0,28.0,21.0,21.0,8.0
145,26.0,28.0,21.0,21.0,8.0,8.0
146,28.0,21.0,21.0,8.0,8.0,12.0
147,21.0,21.0,8.0,8.0,12.0,14.0
148,21.0,8.0,8.0,12.0,14.0,18.0
149,8.0,8.0,12.0,14.0,18.0,24.0
150,8.0,12.0,14.0,18.0,24.0,29.0
151,12.0,14.0,18.0,24.0,29.0,27.0
152,14.0,18.0,24.0,29.0,27.0,42.0
153,18.0,24.0,29.0,27.0,42.0,44.0
154,24.0,29.0,27.0,42.0,44.0,101.0
155,24.0,24.0,30.0,36.0,37.0,30.0
156,24.0,30.0,36.0,37.0,30.0,23.0
157,30.0,36.0,37.0,30.0,23.0,21.0
158,36.0,37.0,30.0,23.0,21.0,17.0
159,37.0,30.0,23.0,21.0,17.0,17.0
160,30.0,23.0,21.0,17.0,17.0,15.0
161,23.0,21.0,17.0,17.0,15.0,11.0
162,21.0,17.0,17.0,15.0,11.0,11.0
163,17.0,17.0,15.0,11.0,11.0,10.0
164,17.0,15.0,11.0,11.0,10.0,7.0
165,15.0,11.0,11.0,10.0,7.0,7.0
166,11.0,11.0,10.0,7.0,7.0,8.0
167,11.0,10.0,7.0,7.0,8.0,10.0
168,10.0,7.0,7.0,8.0,10.0,11.0
169,7.0,7.0,8.0,10.0,11.0,12.0
