,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0
12,25.0,24.0,24.0,32.0,41.0,54.0,63.0
13,24.0,24.0,32.0,41.0,54.0,63.0,72.0
14,24.0,32.0,41.0,54.0,63.0,72.0,101.0
15,24.0,20.0,20.0,17.0,15.0,15.0,16.0
16,20.0,20.0,17.0,15.0,15.0,16.0,17.0
17,20.0,17.0,15.0,15.0,16.0,17.0,17.0
18,17.0,15.0,15.0,16.0,17.0,17.0,23.0
19,15.0,15.0,16.0,17.0,17.0,23.0,37.0
20,15.0,16.0,17.0,17.0,23.0,37.0,54.0
21,16.0,17.0,17.0,23.0,37.0,54.0,60.0
22,17.0,17.0,23.0,37.0,54.0,60.0,73.0
23,17.0,23.0,37.0,54.0,60.0,73.0,86.0
24,23.0,37.0,54.0,60.0,73.0,86.0,95.0
25,37.0,54.0,60.0,73.0,86.0,95.0,101.0
26,55.0,28.0,18.0,16.0,18.0,20.0,33.0
27,28.0,18.0,16.0,18.0,20.0,33.0,45.0
28,18.0,16.0,18.0,20.0,33.0,45.0,61.0
29,16.0,18.0,20.0,33.0,45.0,61.0,79.0
30,18.0,20.0,33.0,45.0,61.0,79.0,95.0
31,20.0,33.0,45.0,61.0,79.0,95.0,101.0
32,42.0,60.0,65.0,60.0,43.0,17.0,19.0
33,60.0,65.0,60.0,43.0,17.0,19.0,20.0
34,65.0,60.0,43.0,17.0,19.0,20.0,19.0
35,60.0,43.0,17.0,19.0,20.0,19.0,19.0
36,43.0,17.0,19.0,20.0,19.0,19.0,21.0
37,17.0,19.0,20.0,19.0,19.0,21.0,33.0
38,19.0,20.0,19.0,19.0,21.0,33.0,54.0
39,20.0,19.0,19.0,21.0,33.0,54.0,61.0
40,19.0,19.0,21.0,33.0,54.0,61.0,71.0
41,19.0,21.0,33.0,54.0,61.0,71.0,85.0
42,21.0,33.0,54.0,61.0,71.0,85.0,101.0
