,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0,23.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0
12,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0
13,24.0,24.0,32.0,41.0,54.0,63.0,72.0,101.0
14,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0
15,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0
16,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0
17,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
18,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
19,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
20,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
21,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
22,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
23,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
24,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0
25,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0
26,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0
27,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
28,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
29,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0
30,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0
31,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0
32,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
33,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
34,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
35,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
36,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
37,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
38,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
39,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0
40,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0
41,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
42,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
43,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
44,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
45,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
46,25.0,17.0,12.0,11.0,8.0,6.0,5.0,4.0
47,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0
48,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0
49,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0
50,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0
51,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0
52,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0
53,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0
54,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0
55,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0
56,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0
57,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0
58,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0
59,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0
60,9.0,10.0,10.0,7.0,7.0,7.0,10.0,43.0
61,10.0,10.0,7.0,7.0,7.0,10.0,43.0,101.0
62,58.0,55.0,54.0,57.0,67.0,75.0,77.0,79.0
63,55.0,54.0,57.0,67.0,75.0,77.0,79.0,79.0
64,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0
65,57.0,67.0,75.0,77.0,79.0,79.0,83.0,91.0
66,67.0,75.0,77.0,79.0,79.0,83.0,91.0,101.0
67,92.0,90.0,86.0,85.0,79.0,82.0,69.0,64.0
68,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0
69,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0
70,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0
71,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0
72,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0
