,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0
12,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0,101.0
13,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0
14,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0
15,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
16,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
17,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
18,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
19,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
20,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
21,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
22,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0
23,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0
24,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
25,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
26,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0
27,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0
28,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
29,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
30,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
31,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
32,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
33,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
34,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
35,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0
36,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
37,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
38,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
39,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
40,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
41,25.0,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0
42,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0
43,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0
44,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0
45,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0
46,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0
47,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0
