,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0,101.0
12,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0
13,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
14,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
15,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
16,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
17,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
18,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
19,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
20,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0
21,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
22,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
23,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0
24,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
25,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
26,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
27,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
28,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
29,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
30,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
31,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
32,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
33,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
34,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
35,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
36,25.0,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0
37,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0
38,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0
