,diff_0,target
0,75.0,67.0
1,67.0,61.0
2,61.0,54.0
3,54.0,40.0
4,40.0,30.0
5,30.0,23.0
6,23.0,23.0
7,23.0,22.0
8,22.0,22.0
9,22.0,25.0
10,25.0,25.0
11,25.0,25.0
12,25.0,24.0
13,24.0,24.0
14,24.0,32.0
15,32.0,41.0
16,41.0,54.0
17,54.0,63.0
18,63.0,72.0
19,72.0,101.0
20,25.0,17.0
21,17.0,12.0
22,12.0,11.0
23,11.0,8.0
24,8.0,6.0
25,6.0,5.0
26,5.0,4.0
27,4.0,4.0
28,4.0,4.0
29,4.0,5.0
30,5.0,5.0
31,5.0,6.0
32,6.0,8.0
33,8.0,9.0
34,9.0,10.0
35,10.0,10.0
36,10.0,7.0
37,7.0,7.0
38,7.0,7.0
39,7.0,10.0
40,10.0,43.0
41,43.0,101.0
42,58.0,55.0
43,55.0,54.0
44,54.0,57.0
45,57.0,67.0
46,67.0,75.0
47,75.0,77.0
48,77.0,79.0
49,79.0,79.0
50,79.0,83.0
51,83.0,91.0
52,91.0,101.0
53,84.0,78.0
54,78.0,68.0
55,68.0,60.0
56,60.0,101.0
57,93.0,80.0
58,80.0,63.0
59,63.0,54.0
60,54.0,43.0
61,43.0,32.0
62,32.0,25.0
63,25.0,15.0
64,15.0,12.0
65,12.0,8.0
66,8.0,6.0
67,6.0,4.0
68,4.0,1.0
69,1.0,3.0
70,3.0,6.0
71,6.0,10.0
72,10.0,16.0
73,16.0,25.0
74,25.0,34.0
75,34.0,41.0
76,41.0,51.0
77,51.0,56.0
78,56.0,75.0
79,75.0,87.0
80,87.0,94.0
81,94.0,94.0
82,94.0,101.0
83,80.0,101.0
84,53.0,31.0
85,31.0,14.0
86,14.0,4.0
87,4.0,1.0
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,1.0,3.0
95,3.0,6.0
96,6.0,12.0
97,12.0,13.0
98,13.0,23.0
99,23.0,33.0
100,33.0,40.0
101,40.0,46.0
102,46.0,60.0
103,60.0,64.0
104,64.0,75.0
105,75.0,101.0
106,85.0,76.0
107,76.0,73.0
108,73.0,70.0
109,70.0,75.0
110,75.0,85.0
111,85.0,94.0
112,94.0,101.0
113,60.0,57.0
114,57.0,44.0
115,44.0,34.0
116,34.0,35.0
117,35.0,36.0
118,36.0,30.0
119,30.0,23.0
120,23.0,26.0
121,26.0,28.0
122,28.0,21.0
123,21.0,21.0
124,21.0,8.0
125,8.0,8.0
126,8.0,12.0
127,12.0,14.0
128,14.0,18.0
129,18.0,24.0
130,24.0,29.0
131,29.0,27.0
132,27.0,42.0
133,42.0,44.0
134,44.0,101.0
135,70.0,49.0
136,49.0,101.0
137,24.0,24.0
138,24.0,30.0
139,30.0,36.0
140,36.0,37.0
141,37.0,30.0
142,30.0,23.0
143,23.0,21.0
144,21.0,17.0
145,17.0,17.0
146,17.0,15.0
147,15.0,11.0
148,11.0,11.0
149,11.0,10.0
150,10.0,7.0
151,7.0,7.0
152,7.0,8.0
153,8.0,10.0
154,10.0,11.0
155,11.0,12.0
156,12.0,12.0
157,12.0,17.0
158,17.0,19.0
159,19.0,23.0
160,23.0,33.0
161,33.0,37.0
162,37.0,36.0
163,36.0,49.0
164,49.0,101.0
165,100.0,99.0
166,99.0,96.0
167,96.0,76.0
168,76.0,55.0
169,55.0,37.0
170,37.0,101.0
171,84.0,78.0
172,78.0,74.0
173,74.0,74.0
174,74.0,77.0
175,77.0,79.0
176,79.0,76.0
177,76.0,70.0
178,70.0,70.0
179,70.0,73.0
180,73.0,71.0
181,71.0,77.0
182,77.0,81.0
183,81.0,67.0
184,67.0,68.0
185,68.0,67.0
186,67.0,78.0
187,78.0,91.0
188,91.0,91.0
189,91.0,96.0
190,96.0,101.0
191,75.0,68.0
192,68.0,63.0
193,63.0,60.0
194,60.0,55.0
195,55.0,55.0
196,55.0,55.0
197,55.0,64.0
198,64.0,64.0
199,64.0,67.0
200,67.0,71.0
201,71.0,75.0
202,75.0,71.0
203,71.0,71.0
204,71.0,73.0
205,73.0,70.0
206,70.0,68.0
207,68.0,67.0
208,67.0,69.0
209,69.0,66.0
210,66.0,101.0
211,74.0,54.0
212,54.0,42.0
213,42.0,40.0
214,40.0,35.0
215,35.0,35.0
216,35.0,35.0
217,35.0,35.0
218,35.0,35.0
219,35.0,39.0
220,39.0,37.0
221,37.0,37.0
222,37.0,37.0
223,37.0,59.0
224,59.0,64.0
225,64.0,67.0
226,67.0,71.0
227,71.0,82.0
228,82.0,84.0
229,84.0,98.0
230,98.0,101.0
231,98.0,100.0
232,100.0,101.0
233,82.0,101.0
234,81.0,97.0
235,97.0,98.0
236,98.0,93.0
237,93.0,86.0
238,33.0,33.0
239,33.0,46.0
240,46.0,64.0
241,64.0,78.0
242,78.0,92.0
243,92.0,101.0
244,40.0,37.0
245,37.0,33.0
246,33.0,31.0
247,31.0,36.0
248,36.0,37.0
249,37.0,42.0
250,42.0,52.0
251,52.0,61.0
252,61.0,81.0
253,81.0,87.0
254,87.0,96.0
255,96.0,101.0
256,93.0,68.0
257,68.0,43.0
258,43.0,101.0
259,81.0,65.0
260,65.0,43.0
261,43.0,101.0
262,33.0,42.0
263,42.0,56.0
264,56.0,70.0
265,70.0,90.0
266,90.0,101.0
267,82.0,80.0
268,80.0,78.0
269,78.0,78.0
270,78.0,75.0
271,75.0,78.0
272,78.0,72.0
273,72.0,72.0
274,72.0,78.0
