,diff_0,diff_1,target
0,75.0,67.0,61.0
1,67.0,61.0,54.0
2,61.0,54.0,40.0
3,54.0,40.0,30.0
4,40.0,30.0,23.0
5,30.0,23.0,23.0
6,23.0,23.0,22.0
7,23.0,22.0,22.0
8,22.0,22.0,25.0
9,22.0,25.0,25.0
10,25.0,25.0,25.0
11,25.0,25.0,24.0
12,25.0,24.0,24.0
13,24.0,24.0,32.0
14,24.0,32.0,41.0
15,32.0,41.0,54.0
16,41.0,54.0,63.0
17,54.0,63.0,72.0
18,63.0,72.0,101.0
19,25.0,17.0,12.0
20,17.0,12.0,11.0
21,12.0,11.0,8.0
22,11.0,8.0,6.0
23,8.0,6.0,5.0
24,6.0,5.0,4.0
25,5.0,4.0,4.0
26,4.0,4.0,4.0
27,4.0,4.0,5.0
28,4.0,5.0,5.0
29,5.0,5.0,6.0
30,5.0,6.0,8.0
31,6.0,8.0,9.0
32,8.0,9.0,10.0
33,9.0,10.0,10.0
34,10.0,10.0,7.0
35,10.0,7.0,7.0
36,7.0,7.0,7.0
37,7.0,7.0,10.0
38,7.0,10.0,43.0
39,10.0,43.0,101.0
40,58.0,55.0,54.0
41,55.0,54.0,57.0
42,54.0,57.0,67.0
43,57.0,67.0,75.0
44,67.0,75.0,77.0
45,75.0,77.0,79.0
46,77.0,79.0,79.0
47,79.0,79.0,83.0
48,79.0,83.0,91.0
49,83.0,91.0,101.0
50,84.0,78.0,68.0
51,78.0,68.0,60.0
52,68.0,60.0,101.0
53,93.0,80.0,63.0
54,80.0,63.0,54.0
55,63.0,54.0,43.0
56,54.0,43.0,32.0
57,43.0,32.0,25.0
58,32.0,25.0,15.0
59,25.0,15.0,12.0
60,15.0,12.0,8.0
61,12.0,8.0,6.0
62,8.0,6.0,4.0
63,6.0,4.0,1.0
64,4.0,1.0,3.0
65,1.0,3.0,6.0
66,3.0,6.0,10.0
67,6.0,10.0,16.0
68,10.0,16.0,25.0
69,16.0,25.0,34.0
70,25.0,34.0,41.0
71,34.0,41.0,51.0
72,41.0,51.0,56.0
73,51.0,56.0,75.0
74,56.0,75.0,87.0
75,75.0,87.0,94.0
76,87.0,94.0,94.0
77,94.0,94.0,101.0
78,53.0,31.0,14.0
79,31.0,14.0,4.0
80,14.0,4.0,1.0
81,4.0,1.0,1.0
82,1.0,1.0,1.0
83,1.0,1.0,1.0
84,1.0,1.0,1.0
85,1.0,1.0,1.0
86,1.0,1.0,1.0
87,1.0,1.0,3.0
88,1.0,3.0,6.0
89,3.0,6.0,12.0
90,6.0,12.0,13.0
91,12.0,13.0,23.0
92,13.0,23.0,33.0
93,23.0,33.0,40.0
94,33.0,40.0,46.0
95,40.0,46.0,60.0
96,46.0,60.0,64.0
97,60.0,64.0,75.0
98,64.0,75.0,101.0
99,85.0,76.0,73.0
100,76.0,73.0,70.0
101,73.0,70.0,75.0
102,70.0,75.0,85.0
103,75.0,85.0,94.0
104,85.0,94.0,101.0
105,60.0,57.0,44.0
106,57.0,44.0,34.0
107,44.0,34.0,35.0
108,34.0,35.0,36.0
109,35.0,36.0,30.0
110,36.0,30.0,23.0
111,30.0,23.0,26.0
112,23.0,26.0,28.0
113,26.0,28.0,21.0
114,28.0,21.0,21.0
115,21.0,21.0,8.0
116,21.0,8.0,8.0
117,8.0,8.0,12.0
118,8.0,12.0,14.0
119,12.0,14.0,18.0
120,14.0,18.0,24.0
121,18.0,24.0,29.0
122,24.0,29.0,27.0
123,29.0,27.0,42.0
124,27.0,42.0,44.0
125,42.0,44.0,101.0
126,70.0,49.0,101.0
127,24.0,24.0,30.0
128,24.0,30.0,36.0
129,30.0,36.0,37.0
130,36.0,37.0,30.0
131,37.0,30.0,23.0
132,30.0,23.0,21.0
133,23.0,21.0,17.0
134,21.0,17.0,17.0
135,17.0,17.0,15.0
136,17.0,15.0,11.0
137,15.0,11.0,11.0
138,11.0,11.0,10.0
139,11.0,10.0,7.0
140,10.0,7.0,7.0
141,7.0,7.0,8.0
142,7.0,8.0,10.0
143,8.0,10.0,11.0
144,10.0,11.0,12.0
145,11.0,12.0,12.0
146,12.0,12.0,17.0
147,12.0,17.0,19.0
148,17.0,19.0,23.0
149,19.0,23.0,33.0
150,23.0,33.0,37.0
151,33.0,37.0,36.0
152,37.0,36.0,49.0
153,36.0,49.0,101.0
154,100.0,99.0,96.0
155,99.0,96.0,76.0
156,96.0,76.0,55.0
157,76.0,55.0,37.0
158,55.0,37.0,101.0
159,84.0,78.0,74.0
160,78.0,74.0,74.0
161,74.0,74.0,77.0
162,74.0,77.0,79.0
163,77.0,79.0,76.0
164,79.0,76.0,70.0
165,76.0,70.0,70.0
166,70.0,70.0,73.0
167,70.0,73.0,71.0
168,73.0,71.0,77.0
169,71.0,77.0,81.0
170,77.0,81.0,67.0
171,81.0,67.0,68.0
172,67.0,68.0,67.0
173,68.0,67.0,78.0
174,67.0,78.0,91.0
175,78.0,91.0,91.0
176,91.0,91.0,96.0
177,91.0,96.0,101.0
178,75.0,68.0,63.0
179,68.0,63.0,60.0
180,63.0,60.0,55.0
181,60.0,55.0,55.0
182,55.0,55.0,55.0
183,55.0,55.0,64.0
184,55.0,64.0,64.0
185,64.0,64.0,67.0
186,64.0,67.0,71.0
187,67.0,71.0,75.0
188,71.0,75.0,71.0
189,75.0,71.0,71.0
190,71.0,71.0,73.0
191,71.0,73.0,70.0
192,73.0,70.0,68.0
193,70.0,68.0,67.0
194,68.0,67.0,69.0
195,67.0,69.0,66.0
196,69.0,66.0,101.0
197,74.0,54.0,42.0
198,54.0,42.0,40.0
199,42.0,40.0,35.0
200,40.0,35.0,35.0
201,35.0,35.0,35.0
202,35.0,35.0,35.0
203,35.0,35.0,35.0
204,35.0,35.0,39.0
205,35.0,39.0,37.0
206,39.0,37.0,37.0
207,37.0,37.0,37.0
208,37.0,37.0,59.0
209,37.0,59.0,64.0
210,59.0,64.0,67.0
211,64.0,67.0,71.0
212,67.0,71.0,82.0
213,71.0,82.0,84.0
214,82.0,84.0,98.0
215,84.0,98.0,101.0
216,98.0,100.0,101.0
217,81.0,97.0,98.0
218,97.0,98.0,93.0
219,98.0,93.0,86.0
220,33.0,33.0,46.0
221,33.0,46.0,64.0
222,46.0,64.0,78.0
223,64.0,78.0,92.0
224,78.0,92.0,101.0
225,40.0,37.0,33.0
226,37.0,33.0,31.0
227,33.0,31.0,36.0
228,31.0,36.0,37.0
229,36.0,37.0,42.0
230,37.0,42.0,52.0
231,42.0,52.0,61.0
232,52.0,61.0,81.0
233,61.0,81.0,87.0
234,81.0,87.0,96.0
235,87.0,96.0,101.0
236,93.0,68.0,43.0
237,68.0,43.0,101.0
238,81.0,65.0,43.0
239,65.0,43.0,101.0
240,33.0,42.0,56.0
241,42.0,56.0,70.0
242,56.0,70.0,90.0
243,70.0,90.0,101.0
244,82.0,80.0,78.0
245,80.0,78.0,78.0
246,78.0,78.0,75.0
247,78.0,75.0,78.0
248,75.0,78.0,72.0
249,78.0,72.0,72.0
250,72.0,72.0,78.0
251,72.0,78.0,82.0
252,78.0,82.0,93.0
253,82.0,93.0,101.0
254,95.0,89.0,89.0
255,89.0,89.0,96.0
256,89.0,96.0,100.0
257,96.0,100.0,101.0
258,93.0,87.0,87.0
259,87.0,87.0,78.0
260,87.0,78.0,77.0
261,78.0,77.0,71.0
262,77.0,71.0,64.0
263,71.0,64.0,70.0
264,64.0,70.0,69.0
265,70.0,69.0,67.0
266,69.0,67.0,60.0
267,67.0,60.0,57.0
268,60.0,57.0,62.0
269,57.0,62.0,63.0
270,62.0,63.0,60.0
271,63.0,60.0,64.0
272,60.0,64.0,63.0
273,64.0,63.0,65.0
274,63.0,65.0,70.0
275,65.0,70.0,71.0
276,70.0,71.0,101.0
277,48.0,46.0,44.0
278,46.0,44.0,54.0
279,44.0,54.0,75.0
280,54.0,75.0,84.0
281,75.0,84.0,96.0
282,84.0,96.0,101.0
283,80.0,67.0,63.0
284,67.0,63.0,53.0
285,63.0,53.0,48.0
286,53.0,48.0,101.0
287,84.0,79.0,73.0
288,79.0,73.0,68.0
289,73.0,68.0,56.0
290,68.0,56.0,54.0
291,56.0,54.0,49.0
292,54.0,49.0,41.0
293,49.0,41.0,40.0
294,41.0,40.0,34.0
295,40.0,34.0,33.0
296,34.0,33.0,31.0
297,33.0,31.0,30.0
298,31.0,30.0,30.0
299,30.0,30.0,38.0
300,30.0,38.0,44.0
301,38.0,44.0,52.0
302,44.0,52.0,56.0
303,52.0,56.0,62.0
304,56.0,62.0,82.0
305,62.0,82.0,101.0
306,34.0,29.0,24.0
307,29.0,24.0,23.0
308,24.0,23.0,16.0
309,23.0,16.0,14.0
310,16.0,14.0,10.0
311,14.0,10.0,14.0
312,10.0,14.0,17.0
313,14.0,17.0,18.0
314,17.0,18.0,23.0
315,18.0,23.0,36.0
316,23.0,36.0,53.0
317,36.0,53.0,76.0
318,53.0,76.0,89.0
319,76.0,89.0,73.0
320,89.0,73.0,87.0
321,73.0,87.0,99.0
322,87.0,99.0,101.0
323,27.0,39.0,69.0
324,39.0,69.0,83.0
325,69.0,83.0,87.0
326,83.0,87.0,84.0
327,87.0,84.0,71.0
328,84.0,71.0,39.0
329,71.0,39.0,55.0
330,39.0,55.0,59.0
331,55.0,59.0,68.0
332,59.0,68.0,77.0
333,68.0,77.0,88.0
334,77.0,88.0,86.0
335,88.0,86.0,90.0
336,86.0,90.0,99.0
337,90.0,99.0,97.0
338,99.0,97.0,95.0
339,97.0,95.0,92.0
340,95.0,92.0,98.0
341,92.0,98.0,101.0
342,17.0,14.0,18.0
343,14.0,18.0,9.0
344,18.0,9.0,8.0
345,9.0,8.0,5.0
346,8.0,5.0,4.0
347,5.0,4.0,4.0
348,4.0,4.0,4.0
349,4.0,4.0,3.0
350,4.0,3.0,1.0
351,3.0,1.0,1.0
352,1.0,1.0,2.0
353,1.0,2.0,2.0
354,2.0,2.0,4.0
355,2.0,4.0,5.0
356,4.0,5.0,8.0
357,5.0,8.0,11.0
358,8.0,11.0,13.0
359,11.0,13.0,14.0
360,13.0,14.0,17.0
361,14.0,17.0,19.0
362,17.0,19.0,20.0
363,19.0,20.0,21.0
364,20.0,21.0,18.0
365,21.0,18.0,24.0
366,18.0,24.0,29.0
367,24.0,29.0,31.0
368,29.0,31.0,38.0
369,31.0,38.0,46.0
370,38.0,46.0,46.0
371,46.0,46.0,49.0
372,46.0,49.0,101.0
373,56.0,36.0,101.0
374,61.0,28.0,8.0
375,28.0,8.0,27.0
376,8.0,27.0,51.0
377,27.0,51.0,76.0
378,51.0,76.0,82.0
379,76.0,82.0,86.0
380,82.0,86.0,83.0
381,86.0,83.0,85.0
382,83.0,85.0,96.0
383,85.0,96.0,101.0
384,91.0,62.0,52.0
385,62.0,52.0,51.0
386,52.0,51.0,51.0
387,51.0,51.0,52.0
388,51.0,52.0,47.0
389,52.0,47.0,49.0
390,47.0,49.0,46.0
391,49.0,46.0,42.0
392,46.0,42.0,41.0
393,42.0,41.0,35.0
394,41.0,35.0,36.0
395,35.0,36.0,39.0
396,36.0,39.0,35.0
