,diff_0,diff_1,diff_2,diff_3,target
0,75.0,67.0,61.0,54.0,40.0
1,67.0,61.0,54.0,40.0,30.0
2,61.0,54.0,40.0,30.0,23.0
3,54.0,40.0,30.0,23.0,23.0
4,40.0,30.0,23.0,23.0,22.0
5,30.0,23.0,23.0,22.0,22.0
6,23.0,23.0,22.0,22.0,25.0
7,23.0,22.0,22.0,25.0,25.0
8,22.0,22.0,25.0,25.0,25.0
9,22.0,25.0,25.0,25.0,24.0
10,25.0,25.0,25.0,24.0,24.0
11,25.0,25.0,24.0,24.0,32.0
12,25.0,24.0,24.0,32.0,41.0
13,24.0,24.0,32.0,41.0,54.0
14,24.0,32.0,41.0,54.0,63.0
15,32.0,41.0,54.0,63.0,72.0
16,41.0,54.0,63.0,72.0,101.0
17,25.0,17.0,12.0,11.0,8.0
18,17.0,12.0,11.0,8.0,6.0
19,12.0,11.0,8.0,6.0,5.0
20,11.0,8.0,6.0,5.0,4.0
21,8.0,6.0,5.0,4.0,4.0
22,6.0,5.0,4.0,4.0,4.0
23,5.0,4.0,4.0,4.0,5.0
24,4.0,4.0,4.0,5.0,5.0
25,4.0,4.0,5.0,5.0,6.0
26,4.0,5.0,5.0,6.0,8.0
27,5.0,5.0,6.0,8.0,9.0
28,5.0,6.0,8.0,9.0,10.0
29,6.0,8.0,9.0,10.0,10.0
30,8.0,9.0,10.0,10.0,7.0
31,9.0,10.0,10.0,7.0,7.0
32,10.0,10.0,7.0,7.0,7.0
33,10.0,7.0,7.0,7.0,10.0
34,7.0,7.0,7.0,10.0,43.0
35,7.0,7.0,10.0,43.0,101.0
36,58.0,55.0,54.0,57.0,67.0
37,55.0,54.0,57.0,67.0,75.0
38,54.0,57.0,67.0,75.0,77.0
39,57.0,67.0,75.0,77.0,79.0
40,67.0,75.0,77.0,79.0,79.0
41,75.0,77.0,79.0,79.0,83.0
42,77.0,79.0,79.0,83.0,91.0
43,79.0,79.0,83.0,91.0,101.0
44,84.0,78.0,68.0,60.0,101.0
45,93.0,80.0,63.0,54.0,43.0
46,80.0,63.0,54.0,43.0,32.0
47,63.0,54.0,43.0,32.0,25.0
48,54.0,43.0,32.0,25.0,15.0
49,43.0,32.0,25.0,15.0,12.0
50,32.0,25.0,15.0,12.0,8.0
51,25.0,15.0,12.0,8.0,6.0
52,15.0,12.0,8.0,6.0,4.0
53,12.0,8.0,6.0,4.0,1.0
54,8.0,6.0,4.0,1.0,3.0
55,6.0,4.0,1.0,3.0,6.0
56,4.0,1.0,3.0,6.0,10.0
57,1.0,3.0,6.0,10.0,16.0
58,3.0,6.0,10.0,16.0,25.0
59,6.0,10.0,16.0,25.0,34.0
60,10.0,16.0,25.0,34.0,41.0
61,16.0,25.0,34.0,41.0,51.0
62,25.0,34.0,41.0,51.0,56.0
63,34.0,41.0,51.0,56.0,75.0
64,41.0,51.0,56.0,75.0,87.0
65,51.0,56.0,75.0,87.0,94.0
66,56.0,75.0,87.0,94.0,94.0
67,75.0,87.0,94.0,94.0,101.0
68,53.0,31.0,14.0,4.0,1.0
69,31.0,14.0,4.0,1.0,1.0
70,14.0,4.0,1.0,1.0,1.0
71,4.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,3.0
76,1.0,1.0,1.0,3.0,6.0
77,1.0,1.0,3.0,6.0,12.0
78,1.0,3.0,6.0,12.0,13.0
79,3.0,6.0,12.0,13.0,23.0
80,6.0,12.0,13.0,23.0,33.0
81,12.0,13.0,23.0,33.0,40.0
82,13.0,23.0,33.0,40.0,46.0
83,23.0,33.0,40.0,46.0,60.0
84,33.0,40.0,46.0,60.0,64.0
85,40.0,46.0,60.0,64.0,75.0
86,46.0,60.0,64.0,75.0,101.0
87,85.0,76.0,73.0,70.0,75.0
88,76.0,73.0,70.0,75.0,85.0
89,73.0,70.0,75.0,85.0,94.0
90,70.0,75.0,85.0,94.0,101.0
91,60.0,57.0,44.0,34.0,35.0
92,57.0,44.0,34.0,35.0,36.0
93,44.0,34.0,35.0,36.0,30.0
94,34.0,35.0,36.0,30.0,23.0
95,35.0,36.0,30.0,23.0,26.0
96,36.0,30.0,23.0,26.0,28.0
97,30.0,23.0,26.0,28.0,21.0
98,23.0,26.0,28.0,21.0,21.0
99,26.0,28.0,21.0,21.0,8.0
100,28.0,21.0,21.0,8.0,8.0
101,21.0,21.0,8.0,8.0,12.0
102,21.0,8.0,8.0,12.0,14.0
103,8.0,8.0,12.0,14.0,18.0
104,8.0,12.0,14.0,18.0,24.0
105,12.0,14.0,18.0,24.0,29.0
106,14.0,18.0,24.0,29.0,27.0
107,18.0,24.0,29.0,27.0,42.0
108,24.0,29.0,27.0,42.0,44.0
109,29.0,27.0,42.0,44.0,101.0
110,24.0,24.0,30.0,36.0,37.0
111,24.0,30.0,36.0,37.0,30.0
112,30.0,36.0,37.0,30.0,23.0
113,36.0,37.0,30.0,23.0,21.0
114,37.0,30.0,23.0,21.0,17.0
115,30.0,23.0,21.0,17.0,17.0
116,23.0,21.0,17.0,17.0,15.0
117,21.0,17.0,17.0,15.0,11.0
118,17.0,17.0,15.0,11.0,11.0
119,17.0,15.0,11.0,11.0,10.0
120,15.0,11.0,11.0,10.0,7.0
121,11.0,11.0,10.0,7.0,7.0
122,11.0,10.0,7.0,7.0,8.0
123,10.0,7.0,7.0,8.0,10.0
124,7.0,7.0,8.0,10.0,11.0
125,7.0,8.0,10.0,11.0,12.0
126,8.0,10.0,11.0,12.0,12.0
127,10.0,11.0,12.0,12.0,17.0
128,11.0,12.0,12.0,17.0,19.0
129,12.0,12.0,17.0,19.0,23.0
130,12.0,17.0,19.0,23.0,33.0
131,17.0,19.0,23.0,33.0,37.0
132,19.0,23.0,33.0,37.0,36.0
133,23.0,33.0,37.0,36.0,49.0
134,33.0,37.0,36.0,49.0,101.0
135,100.0,99.0,96.0,76.0,55.0
136,99.0,96.0,76.0,55.0,37.0
137,96.0,76.0,55.0,37.0,101.0
138,84.0,78.0,74.0,74.0,77.0
139,78.0,74.0,74.0,77.0,79.0
140,74.0,74.0,77.0,79.0,76.0
141,74.0,77.0,79.0,76.0,70.0
142,77.0,79.0,76.0,70.0,70.0
143,79.0,76.0,70.0,70.0,73.0
144,76.0,70.0,70.0,73.0,71.0
145,70.0,70.0,73.0,71.0,77.0
146,70.0,73.0,71.0,77.0,81.0
147,73.0,71.0,77.0,81.0,67.0
148,71.0,77.0,81.0,67.0,68.0
149,77.0,81.0,67.0,68.0,67.0
150,81.0,67.0,68.0,67.0,78.0
151,67.0,68.0,67.0,78.0,91.0
152,68.0,67.0,78.0,91.0,91.0
153,67.0,78.0,91.0,91.0,96.0
154,78.0,91.0,91.0,96.0,101.0
155,75.0,68.0,63.0,60.0,55.0
156,68.0,63.0,60.0,55.0,55.0
157,63.0,60.0,55.0,55.0,55.0
158,60.0,55.0,55.0,55.0,64.0
159,55.0,55.0,55.0,64.0,64.0
160,55.0,55.0,64.0,64.0,67.0
161,55.0,64.0,64.0,67.0,71.0
162,64.0,64.0,67.0,71.0,75.0
163,64.0,67.0,71.0,75.0,71.0
164,67.0,71.0,75.0,71.0,71.0
165,71.0,75.0,71.0,71.0,73.0
166,75.0,71.0,71.0,73.0,70.0
167,71.0,71.0,73.0,70.0,68.0
168,71.0,73.0,70.0,68.0,67.0
169,73.0,70.0,68.0,67.0,69.0
170,70.0,68.0,67.0,69.0,66.0
171,68.0,67.0,69.0,66.0,101.0
172,74.0,54.0,42.0,40.0,35.0
173,54.0,42.0,40.0,35.0,35.0
174,42.0,40.0,35.0,35.0,35.0
175,40.0,35.0,35.0,35.0,35.0
176,35.0,35.0,35.0,35.0,35.0
177,35.0,35.0,35.0,35.0,39.0
178,35.0,35.0,35.0,39.0,37.0
179,35.0,35.0,39.0,37.0,37.0
180,35.0,39.0,37.0,37.0,37.0
181,39.0,37.0,37.0,37.0,59.0
182,37.0,37.0,37.0,59.0,64.0
183,37.0,37.0,59.0,64.0,67.0
184,37.0,59.0,64.0,67.0,71.0
185,59.0,64.0,67.0,71.0,82.0
186,64.0,67.0,71.0,82.0,84.0
187,67.0,71.0,82.0,84.0,98.0
188,71.0,82.0,84.0,98.0,101.0
189,81.0,97.0,98.0,93.0,86.0
190,33.0,33.0,46.0,64.0,78.0
191,33.0,46.0,64.0,78.0,92.0
192,46.0,64.0,78.0,92.0,101.0
193,40.0,37.0,33.0,31.0,36.0
194,37.0,33.0,31.0,36.0,37.0
195,33.0,31.0,36.0,37.0,42.0
196,31.0,36.0,37.0,42.0,52.0
197,36.0,37.0,42.0,52.0,61.0
198,37.0,42.0,52.0,61.0,81.0
199,42.0,52.0,61.0,81.0,87.0
200,52.0,61.0,81.0,87.0,96.0
201,61.0,81.0,87.0,96.0,101.0
202,33.0,42.0,56.0,70.0,90.0
203,42.0,56.0,70.0,90.0,101.0
204,82.0,80.0,78.0,78.0,75.0
205,80.0,78.0,78.0,75.0,78.0
206,78.0,78.0,75.0,78.0,72.0
207,78.0,75.0,78.0,72.0,72.0
