,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0,23.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0
12,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0
13,24.0,24.0,32.0,41.0,54.0,63.0,72.0,101.0
14,25.0,17.0,12.0,11.0,8.0,6.0,5.0,4.0
15,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0
16,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0
17,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0
18,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0
19,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0
20,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0
21,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0
22,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0
23,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0
24,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0
25,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0
26,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0
27,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0
28,9.0,10.0,10.0,7.0,7.0,7.0,10.0,43.0
29,10.0,10.0,7.0,7.0,7.0,10.0,43.0,101.0
30,58.0,55.0,54.0,57.0,67.0,75.0,77.0,79.0
31,55.0,54.0,57.0,67.0,75.0,77.0,79.0,79.0
32,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0
33,57.0,67.0,75.0,77.0,79.0,79.0,83.0,91.0
34,67.0,75.0,77.0,79.0,79.0,83.0,91.0,101.0
35,93.0,80.0,63.0,54.0,43.0,32.0,25.0,15.0
36,80.0,63.0,54.0,43.0,32.0,25.0,15.0,12.0
37,63.0,54.0,43.0,32.0,25.0,15.0,12.0,8.0
38,54.0,43.0,32.0,25.0,15.0,12.0,8.0,6.0
39,43.0,32.0,25.0,15.0,12.0,8.0,6.0,4.0
40,32.0,25.0,15.0,12.0,8.0,6.0,4.0,1.0
41,25.0,15.0,12.0,8.0,6.0,4.0,1.0,3.0
42,15.0,12.0,8.0,6.0,4.0,1.0,3.0,6.0
43,12.0,8.0,6.0,4.0,1.0,3.0,6.0,10.0
44,8.0,6.0,4.0,1.0,3.0,6.0,10.0,16.0
45,6.0,4.0,1.0,3.0,6.0,10.0,16.0,25.0
46,4.0,1.0,3.0,6.0,10.0,16.0,25.0,34.0
47,1.0,3.0,6.0,10.0,16.0,25.0,34.0,41.0
48,3.0,6.0,10.0,16.0,25.0,34.0,41.0,51.0
49,6.0,10.0,16.0,25.0,34.0,41.0,51.0,56.0
50,10.0,16.0,25.0,34.0,41.0,51.0,56.0,75.0
51,16.0,25.0,34.0,41.0,51.0,56.0,75.0,87.0
52,25.0,34.0,41.0,51.0,56.0,75.0,87.0,94.0
53,34.0,41.0,51.0,56.0,75.0,87.0,94.0,94.0
54,41.0,51.0,56.0,75.0,87.0,94.0,94.0,101.0
55,53.0,31.0,14.0,4.0,1.0,1.0,1.0,1.0
56,31.0,14.0,4.0,1.0,1.0,1.0,1.0,1.0
57,14.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
58,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
60,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0
61,1.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0
62,1.0,1.0,1.0,1.0,3.0,6.0,12.0,13.0
63,1.0,1.0,1.0,3.0,6.0,12.0,13.0,23.0
64,1.0,1.0,3.0,6.0,12.0,13.0,23.0,33.0
65,1.0,3.0,6.0,12.0,13.0,23.0,33.0,40.0
66,3.0,6.0,12.0,13.0,23.0,33.0,40.0,46.0
67,6.0,12.0,13.0,23.0,33.0,40.0,46.0,60.0
68,12.0,13.0,23.0,33.0,40.0,46.0,60.0,64.0
69,13.0,23.0,33.0,40.0,46.0,60.0,64.0,75.0
70,23.0,33.0,40.0,46.0,60.0,64.0,75.0,101.0
71,85.0,76.0,73.0,70.0,75.0,85.0,94.0,101.0
72,60.0,57.0,44.0,34.0,35.0,36.0,30.0,23.0
