,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0,101.0
12,25.0,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0
13,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0
14,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0
15,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0
16,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0
17,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0
18,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0
19,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0
20,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0
21,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0
22,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0
23,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0
24,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0,43.0
25,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0,43.0,101.0
26,58.0,55.0,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0
27,55.0,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0,91.0
28,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0,91.0,101.0
29,93.0,80.0,63.0,54.0,43.0,32.0,25.0,15.0,12.0,8.0
30,80.0,63.0,54.0,43.0,32.0,25.0,15.0,12.0,8.0,6.0
31,63.0,54.0,43.0,32.0,25.0,15.0,12.0,8.0,6.0,4.0
32,54.0,43.0,32.0,25.0,15.0,12.0,8.0,6.0,4.0,1.0
33,43.0,32.0,25.0,15.0,12.0,8.0,6.0,4.0,1.0,3.0
34,32.0,25.0,15.0,12.0,8.0,6.0,4.0,1.0,3.0,6.0
35,25.0,15.0,12.0,8.0,6.0,4.0,1.0,3.0,6.0,10.0
36,15.0,12.0,8.0,6.0,4.0,1.0,3.0,6.0,10.0,16.0
37,12.0,8.0,6.0,4.0,1.0,3.0,6.0,10.0,16.0,25.0
38,8.0,6.0,4.0,1.0,3.0,6.0,10.0,16.0,25.0,34.0
