,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,diff_9,target
0,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
1,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
2,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
3,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
4,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
5,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
6,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
7,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
8,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
9,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
10,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
11,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
12,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
13,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
14,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
15,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
16,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
17,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
18,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
19,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
20,92.0,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0
21,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0
22,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0
23,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0
24,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0,82.0
25,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0,82.0,94.0
26,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0,82.0,94.0,101.0
27,97.0,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0
28,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0
29,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0
30,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0
31,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0
32,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0
33,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0
34,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0
35,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0
36,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0
37,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0,101.0
38,41.0,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0
