,diff_0,diff_1,diff_2,target
0,24.0,20.0,20.0,17.0
1,20.0,20.0,17.0,15.0
2,20.0,17.0,15.0,15.0
3,17.0,15.0,15.0,16.0
4,15.0,15.0,16.0,17.0
5,15.0,16.0,17.0,17.0
6,16.0,17.0,17.0,23.0
7,17.0,17.0,23.0,37.0
8,17.0,23.0,37.0,54.0
9,23.0,37.0,54.0,60.0
10,37.0,54.0,60.0,73.0
11,54.0,60.0,73.0,86.0
12,60.0,73.0,86.0,95.0
13,73.0,86.0,95.0,101.0
14,55.0,28.0,18.0,16.0
15,28.0,18.0,16.0,18.0
16,18.0,16.0,18.0,20.0
17,16.0,18.0,20.0,33.0
18,18.0,20.0,33.0,45.0
19,20.0,33.0,45.0,61.0
20,33.0,45.0,61.0,79.0
21,45.0,61.0,79.0,95.0
22,61.0,79.0,95.0,101.0
23,42.0,60.0,65.0,60.0
24,60.0,65.0,60.0,43.0
25,65.0,60.0,43.0,17.0
26,60.0,43.0,17.0,19.0
27,43.0,17.0,19.0,20.0
28,17.0,19.0,20.0,19.0
29,19.0,20.0,19.0,19.0
30,20.0,19.0,19.0,21.0
31,19.0,19.0,21.0,33.0
32,19.0,21.0,33.0,54.0
33,21.0,33.0,54.0,61.0
34,33.0,54.0,61.0,71.0
35,54.0,61.0,71.0,85.0
36,61.0,71.0,85.0,101.0
37,98.0,100.0,94.0,89.0
38,100.0,94.0,89.0,93.0
39,94.0,89.0,93.0,101.0
40,87.0,81.0,73.0,78.0
41,81.0,73.0,78.0,77.0
42,73.0,78.0,77.0,77.0
43,78.0,77.0,77.0,73.0
44,77.0,77.0,73.0,80.0
45,77.0,73.0,80.0,82.0
46,73.0,80.0,82.0,89.0
47,80.0,82.0,89.0,95.0
48,82.0,89.0,95.0,95.0
49,89.0,95.0,95.0,89.0
50,95.0,95.0,89.0,101.0
51,92.0,90.0,86.0,85.0
52,90.0,86.0,85.0,79.0
53,86.0,85.0,79.0,82.0
54,85.0,79.0,82.0,69.0
55,79.0,82.0,69.0,64.0
56,82.0,69.0,64.0,59.0
57,69.0,64.0,59.0,63.0
58,64.0,59.0,63.0,59.0
59,59.0,63.0,59.0,63.0
60,63.0,59.0,63.0,58.0
61,59.0,63.0,58.0,72.0
62,63.0,58.0,72.0,82.0
63,58.0,72.0,82.0,94.0
64,72.0,82.0,94.0,101.0
65,35.0,70.0,91.0,100.0
66,70.0,91.0,100.0,101.0
67,97.0,88.0,85.0,83.0
68,88.0,85.0,83.0,84.0
69,85.0,83.0,84.0,81.0
70,83.0,84.0,81.0,72.0
71,84.0,81.0,72.0,44.0
72,81.0,72.0,44.0,54.0
73,72.0,44.0,54.0,55.0
74,44.0,54.0,55.0,51.0
75,54.0,55.0,51.0,48.0
76,55.0,51.0,48.0,45.0
77,51.0,48.0,45.0,43.0
78,48.0,45.0,43.0,40.0
79,45.0,43.0,40.0,36.0
80,43.0,40.0,36.0,36.0
81,40.0,36.0,36.0,34.0
82,36.0,36.0,34.0,39.0
83,36.0,34.0,39.0,46.0
84,34.0,39.0,46.0,101.0
85,82.0,87.0,84.0,87.0
86,87.0,84.0,87.0,81.0
87,84.0,87.0,81.0,85.0
88,87.0,81.0,85.0,76.0
89,81.0,85.0,76.0,77.0
90,85.0,76.0,77.0,83.0
91,76.0,77.0,83.0,101.0
92,41.0,67.0,75.0,89.0
93,67.0,75.0,89.0,75.0
94,75.0,89.0,75.0,81.0
95,89.0,75.0,81.0,88.0
96,75.0,81.0,88.0,93.0
97,81.0,88.0,93.0,100.0
98,88.0,93.0,100.0,100.0
99,93.0,100.0,100.0,97.0
100,100.0,100.0,97.0,101.0
101,63.0,62.0,58.0,53.0
102,62.0,58.0,53.0,53.0
103,58.0,53.0,53.0,44.0
104,53.0,53.0,44.0,35.0
105,53.0,44.0,35.0,35.0
106,44.0,35.0,35.0,35.0
107,35.0,35.0,35.0,35.0
108,35.0,35.0,35.0,38.0
109,35.0,35.0,38.0,37.0
110,35.0,38.0,37.0,36.0
111,38.0,37.0,36.0,41.0
112,37.0,36.0,41.0,44.0
113,36.0,41.0,44.0,52.0
114,41.0,44.0,52.0,53.0
115,44.0,52.0,53.0,59.0
116,52.0,53.0,59.0,63.0
117,53.0,59.0,63.0,64.0
118,59.0,63.0,64.0,101.0
119,88.0,58.0,73.0,75.0
120,58.0,73.0,75.0,78.0
121,73.0,75.0,78.0,76.0
122,75.0,78.0,76.0,74.0
123,78.0,76.0,74.0,82.0
124,76.0,74.0,82.0,75.0
125,74.0,82.0,75.0,82.0
126,82.0,75.0,82.0,89.0
127,75.0,82.0,89.0,92.0
128,82.0,89.0,92.0,100.0
129,89.0,92.0,100.0,101.0
130,90.0,90.0,98.0,93.0
131,90.0,98.0,93.0,91.0
132,98.0,93.0,91.0,92.0
