,diff_0,diff_1,diff_2,diff_3,diff_4,target
0,24.0,20.0,20.0,17.0,15.0,15.0
1,20.0,20.0,17.0,15.0,15.0,16.0
2,20.0,17.0,15.0,15.0,16.0,17.0
3,17.0,15.0,15.0,16.0,17.0,17.0
4,15.0,15.0,16.0,17.0,17.0,23.0
5,15.0,16.0,17.0,17.0,23.0,37.0
6,16.0,17.0,17.0,23.0,37.0,54.0
7,17.0,17.0,23.0,37.0,54.0,60.0
8,17.0,23.0,37.0,54.0,60.0,73.0
9,23.0,37.0,54.0,60.0,73.0,86.0
10,37.0,54.0,60.0,73.0,86.0,95.0
11,54.0,60.0,73.0,86.0,95.0,101.0
12,55.0,28.0,18.0,16.0,18.0,20.0
13,28.0,18.0,16.0,18.0,20.0,33.0
14,18.0,16.0,18.0,20.0,33.0,45.0
15,16.0,18.0,20.0,33.0,45.0,61.0
16,18.0,20.0,33.0,45.0,61.0,79.0
17,20.0,33.0,45.0,61.0,79.0,95.0
18,33.0,45.0,61.0,79.0,95.0,101.0
19,42.0,60.0,65.0,60.0,43.0,17.0
20,60.0,65.0,60.0,43.0,17.0,19.0
21,65.0,60.0,43.0,17.0,19.0,20.0
22,60.0,43.0,17.0,19.0,20.0,19.0
23,43.0,17.0,19.0,20.0,19.0,19.0
24,17.0,19.0,20.0,19.0,19.0,21.0
25,19.0,20.0,19.0,19.0,21.0,33.0
26,20.0,19.0,19.0,21.0,33.0,54.0
27,19.0,19.0,21.0,33.0,54.0,61.0
28,19.0,21.0,33.0,54.0,61.0,71.0
29,21.0,33.0,54.0,61.0,71.0,85.0
30,33.0,54.0,61.0,71.0,85.0,101.0
31,98.0,100.0,94.0,89.0,93.0,101.0
32,87.0,81.0,73.0,78.0,77.0,77.0
33,81.0,73.0,78.0,77.0,77.0,73.0
34,73.0,78.0,77.0,77.0,73.0,80.0
35,78.0,77.0,77.0,73.0,80.0,82.0
36,77.0,77.0,73.0,80.0,82.0,89.0
37,77.0,73.0,80.0,82.0,89.0,95.0
38,73.0,80.0,82.0,89.0,95.0,95.0
39,80.0,82.0,89.0,95.0,95.0,89.0
40,82.0,89.0,95.0,95.0,89.0,101.0
41,92.0,90.0,86.0,85.0,79.0,82.0
42,90.0,86.0,85.0,79.0,82.0,69.0
43,86.0,85.0,79.0,82.0,69.0,64.0
44,85.0,79.0,82.0,69.0,64.0,59.0
45,79.0,82.0,69.0,64.0,59.0,63.0
46,82.0,69.0,64.0,59.0,63.0,59.0
47,69.0,64.0,59.0,63.0,59.0,63.0
48,64.0,59.0,63.0,59.0,63.0,58.0
49,59.0,63.0,59.0,63.0,58.0,72.0
50,63.0,59.0,63.0,58.0,72.0,82.0
51,59.0,63.0,58.0,72.0,82.0,94.0
52,63.0,58.0,72.0,82.0,94.0,101.0
53,97.0,88.0,85.0,83.0,84.0,81.0
54,88.0,85.0,83.0,84.0,81.0,72.0
55,85.0,83.0,84.0,81.0,72.0,44.0
56,83.0,84.0,81.0,72.0,44.0,54.0
57,84.0,81.0,72.0,44.0,54.0,55.0
58,81.0,72.0,44.0,54.0,55.0,51.0
59,72.0,44.0,54.0,55.0,51.0,48.0
60,44.0,54.0,55.0,51.0,48.0,45.0
61,54.0,55.0,51.0,48.0,45.0,43.0
62,55.0,51.0,48.0,45.0,43.0,40.0
63,51.0,48.0,45.0,43.0,40.0,36.0
64,48.0,45.0,43.0,40.0,36.0,36.0
65,45.0,43.0,40.0,36.0,36.0,34.0
66,43.0,40.0,36.0,36.0,34.0,39.0
67,40.0,36.0,36.0,34.0,39.0,46.0
68,36.0,36.0,34.0,39.0,46.0,101.0
69,82.0,87.0,84.0,87.0,81.0,85.0
70,87.0,84.0,87.0,81.0,85.0,76.0
71,84.0,87.0,81.0,85.0,76.0,77.0
72,87.0,81.0,85.0,76.0,77.0,83.0
73,81.0,85.0,76.0,77.0,83.0,101.0
74,41.0,67.0,75.0,89.0,75.0,81.0
75,67.0,75.0,89.0,75.0,81.0,88.0
76,75.0,89.0,75.0,81.0,88.0,93.0
