,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
0,24.0,20.0,20.0,17.0,15.0,15.0,16.0
1,20.0,20.0,17.0,15.0,15.0,16.0,17.0
2,20.0,17.0,15.0,15.0,16.0,17.0,17.0
3,17.0,15.0,15.0,16.0,17.0,17.0,23.0
4,15.0,15.0,16.0,17.0,17.0,23.0,37.0
5,15.0,16.0,17.0,17.0,23.0,37.0,54.0
6,16.0,17.0,17.0,23.0,37.0,54.0,60.0
7,17.0,17.0,23.0,37.0,54.0,60.0,73.0
8,17.0,23.0,37.0,54.0,60.0,73.0,86.0
9,23.0,37.0,54.0,60.0,73.0,86.0,95.0
10,37.0,54.0,60.0,73.0,86.0,95.0,101.0
11,55.0,28.0,18.0,16.0,18.0,20.0,33.0
12,28.0,18.0,16.0,18.0,20.0,33.0,45.0
13,18.0,16.0,18.0,20.0,33.0,45.0,61.0
14,16.0,18.0,20.0,33.0,45.0,61.0,79.0
15,18.0,20.0,33.0,45.0,61.0,79.0,95.0
16,20.0,33.0,45.0,61.0,79.0,95.0,101.0
17,42.0,60.0,65.0,60.0,43.0,17.0,19.0
18,60.0,65.0,60.0,43.0,17.0,19.0,20.0
19,65.0,60.0,43.0,17.0,19.0,20.0,19.0
20,60.0,43.0,17.0,19.0,20.0,19.0,19.0
21,43.0,17.0,19.0,20.0,19.0,19.0,21.0
22,17.0,19.0,20.0,19.0,19.0,21.0,33.0
23,19.0,20.0,19.0,19.0,21.0,33.0,54.0
24,20.0,19.0,19.0,21.0,33.0,54.0,61.0
25,19.0,19.0,21.0,33.0,54.0,61.0,71.0
26,19.0,21.0,33.0,54.0,61.0,71.0,85.0
27,21.0,33.0,54.0,61.0,71.0,85.0,101.0
28,87.0,81.0,73.0,78.0,77.0,77.0,73.0
29,81.0,73.0,78.0,77.0,77.0,73.0,80.0
30,73.0,78.0,77.0,77.0,73.0,80.0,82.0
31,78.0,77.0,77.0,73.0,80.0,82.0,89.0
32,77.0,77.0,73.0,80.0,82.0,89.0,95.0
33,77.0,73.0,80.0,82.0,89.0,95.0,95.0
34,73.0,80.0,82.0,89.0,95.0,95.0,89.0
35,80.0,82.0,89.0,95.0,95.0,89.0,101.0
36,92.0,90.0,86.0,85.0,79.0,82.0,69.0
37,90.0,86.0,85.0,79.0,82.0,69.0,64.0
38,86.0,85.0,79.0,82.0,69.0,64.0,59.0
39,85.0,79.0,82.0,69.0,64.0,59.0,63.0
40,79.0,82.0,69.0,64.0,59.0,63.0,59.0
41,82.0,69.0,64.0,59.0,63.0,59.0,63.0
42,69.0,64.0,59.0,63.0,59.0,63.0,58.0
43,64.0,59.0,63.0,59.0,63.0,58.0,72.0
44,59.0,63.0,59.0,63.0,58.0,72.0,82.0
45,63.0,59.0,63.0,58.0,72.0,82.0,94.0
46,59.0,63.0,58.0,72.0,82.0,94.0,101.0
47,97.0,88.0,85.0,83.0,84.0,81.0,72.0
48,88.0,85.0,83.0,84.0,81.0,72.0,44.0
49,85.0,83.0,84.0,81.0,72.0,44.0,54.0
50,83.0,84.0,81.0,72.0,44.0,54.0,55.0
51,84.0,81.0,72.0,44.0,54.0,55.0,51.0
52,81.0,72.0,44.0,54.0,55.0,51.0,48.0
53,72.0,44.0,54.0,55.0,51.0,48.0,45.0
54,44.0,54.0,55.0,51.0,48.0,45.0,43.0
55,54.0,55.0,51.0,48.0,45.0,43.0,40.0
56,55.0,51.0,48.0,45.0,43.0,40.0,36.0
57,51.0,48.0,45.0,43.0,40.0,36.0,36.0
58,48.0,45.0,43.0,40.0,36.0,36.0,34.0
59,45.0,43.0,40.0,36.0,36.0,34.0,39.0
60,43.0,40.0,36.0,36.0,34.0,39.0,46.0
61,40.0,36.0,36.0,34.0,39.0,46.0,101.0
62,82.0,87.0,84.0,87.0,81.0,85.0,76.0
63,87.0,84.0,87.0,81.0,85.0,76.0,77.0
64,84.0,87.0,81.0,85.0,76.0,77.0,83.0
65,87.0,81.0,85.0,76.0,77.0,83.0,101.0
66,41.0,67.0,75.0,89.0,75.0,81.0,88.0
67,67.0,75.0,89.0,75.0,81.0,88.0,93.0
68,75.0,89.0,75.0,81.0,88.0,93.0,100.0
69,89.0,75.0,81.0,88.0,93.0,100.0,100.0
70,75.0,81.0,88.0,93.0,100.0,100.0,97.0
71,81.0,88.0,93.0,100.0,100.0,97.0,101.0
72,63.0,62.0,58.0,53.0,53.0,44.0,35.0
73,62.0,58.0,53.0,53.0,44.0,35.0,35.0
74,58.0,53.0,53.0,44.0,35.0,35.0,35.0
75,53.0,53.0,44.0,35.0,35.0,35.0,35.0
76,53.0,44.0,35.0,35.0,35.0,35.0,38.0
77,44.0,35.0,35.0,35.0,35.0,38.0,37.0
78,35.0,35.0,35.0,35.0,38.0,37.0,36.0
79,35.0,35.0,35.0,38.0,37.0,36.0,41.0
80,35.0,35.0,38.0,37.0,36.0,41.0,44.0
81,35.0,38.0,37.0,36.0,41.0,44.0,52.0
82,38.0,37.0,36.0,41.0,44.0,52.0,53.0
83,37.0,36.0,41.0,44.0,52.0,53.0,59.0
84,36.0,41.0,44.0,52.0,53.0,59.0,63.0
85,41.0,44.0,52.0,53.0,59.0,63.0,64.0
86,44.0,52.0,53.0,59.0,63.0,64.0,101.0
87,88.0,58.0,73.0,75.0,78.0,76.0,74.0
88,58.0,73.0,75.0,78.0,76.0,74.0,82.0
89,73.0,75.0,78.0,76.0,74.0,82.0,75.0
90,75.0,78.0,76.0,74.0,82.0,75.0,82.0
91,78.0,76.0,74.0,82.0,75.0,82.0,89.0
92,76.0,74.0,82.0,75.0,82.0,89.0,92.0
93,74.0,82.0,75.0,82.0,89.0,92.0,100.0
94,82.0,75.0,82.0,89.0,92.0,100.0,101.0
95,90.0,90.0,98.0,93.0,91.0,92.0,90.0
96,90.0,98.0,93.0,91.0,92.0,90.0,101.0
97,91.0,99.0,93.0,90.0,88.0,89.0,86.0
98,99.0,93.0,90.0,88.0,89.0,86.0,84.0
99,93.0,90.0,88.0,89.0,86.0,84.0,76.0
100,90.0,88.0,89.0,86.0,84.0,76.0,85.0
101,88.0,89.0,86.0,84.0,76.0,85.0,93.0
102,89.0,86.0,84.0,76.0,85.0,93.0,101.0
103,96.0,81.0,81.0,78.0,85.0,72.0,71.0
104,81.0,81.0,78.0,85.0,72.0,71.0,64.0
105,81.0,78.0,85.0,72.0,71.0,64.0,60.0
106,78.0,85.0,72.0,71.0,64.0,60.0,63.0
107,85.0,72.0,71.0,64.0,60.0,63.0,69.0
108,72.0,71.0,64.0,60.0,63.0,69.0,57.0
109,71.0,64.0,60.0,63.0,69.0,57.0,54.0
110,64.0,60.0,63.0,69.0,57.0,54.0,42.0
111,60.0,63.0,69.0,57.0,54.0,42.0,57.0
112,63.0,69.0,57.0,54.0,42.0,57.0,55.0
113,69.0,57.0,54.0,42.0,57.0,55.0,68.0
114,57.0,54.0,42.0,57.0,55.0,68.0,91.0
115,54.0,42.0,57.0,55.0,68.0,91.0,101.0
116,87.0,90.0,90.0,88.0,84.0,91.0,89.0
117,90.0,90.0,88.0,84.0,91.0,89.0,90.0
118,90.0,88.0,84.0,91.0,89.0,90.0,96.0
119,88.0,84.0,91.0,89.0,90.0,96.0,101.0
120,93.0,80.0,63.0,58.0,53.0,52.0,54.0
121,80.0,63.0,58.0,53.0,52.0,54.0,57.0
122,63.0,58.0,53.0,52.0,54.0,57.0,63.0
123,58.0,53.0,52.0,54.0,57.0,63.0,76.0
124,53.0,52.0,54.0,57.0,63.0,76.0,94.0
125,52.0,54.0,57.0,63.0,76.0,94.0,101.0
126,89.0,74.0,75.0,56.0,52.0,44.0,57.0
127,74.0,75.0,56.0,52.0,44.0,57.0,40.0
128,75.0,56.0,52.0,44.0,57.0,40.0,36.0
129,56.0,52.0,44.0,57.0,40.0,36.0,27.0
130,52.0,44.0,57.0,40.0,36.0,27.0,25.0
131,44.0,57.0,40.0,36.0,27.0,25.0,24.0
132,57.0,40.0,36.0,27.0,25.0,24.0,26.0
133,40.0,36.0,27.0,25.0,24.0,26.0,25.0
134,36.0,27.0,25.0,24.0,26.0,25.0,27.0
135,27.0,25.0,24.0,26.0,25.0,27.0,29.0
136,25.0,24.0,26.0,25.0,27.0,29.0,35.0
137,24.0,26.0,25.0,27.0,29.0,35.0,34.0
138,26.0,25.0,27.0,29.0,35.0,34.0,32.0
139,25.0,27.0,29.0,35.0,34.0,32.0,34.0
140,27.0,29.0,35.0,34.0,32.0,34.0,36.0
141,29.0,35.0,34.0,32.0,34.0,36.0,34.0
142,35.0,34.0,32.0,34.0,36.0,34.0,36.0
143,34.0,32.0,34.0,36.0,34.0,36.0,43.0
144,32.0,34.0,36.0,34.0,36.0,43.0,101.0
145,93.0,71.0,62.0,67.0,46.0,44.0,40.0
146,71.0,62.0,67.0,46.0,44.0,40.0,29.0
147,62.0,67.0,46.0,44.0,40.0,29.0,25.0
148,67.0,46.0,44.0,40.0,29.0,25.0,21.0
149,46.0,44.0,40.0,29.0,25.0,21.0,18.0
150,44.0,40.0,29.0,25.0,21.0,18.0,18.0
151,40.0,29.0,25.0,21.0,18.0,18.0,18.0
152,97.0,81.0,76.0,64.0,65.0,61.0,54.0
153,81.0,76.0,64.0,65.0,61.0,54.0,45.0
154,76.0,64.0,65.0,61.0,54.0,45.0,43.0
155,64.0,65.0,61.0,54.0,45.0,43.0,51.0
156,65.0,61.0,54.0,45.0,43.0,51.0,51.0
157,61.0,54.0,45.0,43.0,51.0,51.0,46.0
158,54.0,45.0,43.0,51.0,51.0,46.0,49.0
159,45.0,43.0,51.0,51.0,46.0,49.0,50.0
160,43.0,51.0,51.0,46.0,49.0,50.0,46.0
161,51.0,51.0,46.0,49.0,50.0,46.0,48.0
162,51.0,46.0,49.0,50.0,46.0,48.0,48.0
163,46.0,49.0,50.0,46.0,48.0,48.0,52.0
164,49.0,50.0,46.0,48.0,48.0,52.0,56.0
165,50.0,46.0,48.0,48.0,52.0,56.0,62.0
166,46.0,48.0,48.0,52.0,56.0,62.0,101.0
167,50.0,67.0,68.0,60.0,49.0,41.0,41.0
168,67.0,68.0,60.0,49.0,41.0,41.0,36.0
169,68.0,60.0,49.0,41.0,41.0,36.0,33.0
170,60.0,49.0,41.0,41.0,36.0,33.0,31.0
171,49.0,41.0,41.0,36.0,33.0,31.0,33.0
172,41.0,41.0,36.0,33.0,31.0,33.0,42.0
173,41.0,36.0,33.0,31.0,33.0,42.0,69.0
174,36.0,33.0,31.0,33.0,42.0,69.0,88.0
175,33.0,31.0,33.0,42.0,69.0,88.0,101.0
176,64.0,26.0,33.0,34.0,32.0,24.0,20.0
177,26.0,33.0,34.0,32.0,24.0,20.0,21.0
178,33.0,34.0,32.0,24.0,20.0,21.0,25.0
179,34.0,32.0,24.0,20.0,21.0,25.0,26.0
180,32.0,24.0,20.0,21.0,25.0,26.0,23.0
