,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
0,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0
1,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0
2,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
3,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
4,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
5,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
6,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
7,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
8,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
9,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0
10,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0
11,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
12,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
13,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0
14,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0
15,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
16,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
17,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
18,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
19,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
20,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
21,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
22,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0
23,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
24,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
25,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
26,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
27,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
28,92.0,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0
29,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0
30,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0
31,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0
32,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0
33,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0
34,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0,82.0
35,64.0,59.0,63.0,59.0,63.0,58.0,72.0,82.0,94.0
36,59.0,63.0,59.0,63.0,58.0,72.0,82.0,94.0,101.0
37,97.0,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0
38,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0
39,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0
40,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0
41,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0
42,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0
43,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0
44,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0
45,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0
46,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0
47,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0
48,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0
49,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0,101.0
50,82.0,87.0,84.0,87.0,81.0,85.0,76.0,77.0,83.0
51,87.0,84.0,87.0,81.0,85.0,76.0,77.0,83.0,101.0
52,41.0,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0
53,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0
54,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0
55,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0,101.0
56,63.0,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0
57,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0
58,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0
59,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0
60,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0
61,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0
62,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0
63,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0
64,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0
65,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0
66,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0
67,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0
68,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0,101.0
69,88.0,58.0,73.0,75.0,78.0,76.0,74.0,82.0,75.0
70,58.0,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0
71,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0
72,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0,92.0
73,78.0,76.0,74.0,82.0,75.0,82.0,89.0,92.0,100.0
74,76.0,74.0,82.0,75.0,82.0,89.0,92.0,100.0,101.0
