,diff_0,diff_1,diff_2,diff_3,diff_4,rank,target
0,1,1,1,1,1,30.0,1
1,1,1,1,1,1,23.0,0
2,1,1,1,1,0,23.0,1
3,1,1,1,0,1,22.0,0
4,1,1,0,1,0,22.0,-1
5,1,0,1,0,-1,25.0,0
6,0,1,0,-1,0,25.0,0
7,1,0,-1,0,0,25.0,1
8,0,-1,0,0,1,24.0,0
9,-1,0,0,1,0,24.0,-1
10,0,0,1,0,-1,32.0,-1
11,0,1,0,-1,-1,41.0,-1
12,1,0,-1,-1,-1,54.0,-1
13,0,-1,-1,-1,-1,63.0,-1
14,1,0,1,1,0,15.0,-1
15,0,1,1,0,-1,16.0,-1
16,1,1,0,-1,-1,17.0,0
17,1,0,-1,-1,0,17.0,-1
18,0,-1,-1,0,-1,23.0,-1
19,-1,-1,0,-1,-1,37.0,-1
20,-1,0,-1,-1,-1,54.0,-1
21,0,-1,-1,-1,-1,60.0,-1
22,-1,-1,-1,-1,-1,73.0,-1
23,-1,-1,-1,-1,-1,86.0,-1
24,1,1,1,-1,-1,20.0,-1
25,1,1,-1,-1,-1,33.0,-1
26,1,-1,-1,-1,-1,45.0,-1
27,-1,-1,-1,-1,-1,61.0,-1
28,-1,-1,-1,-1,-1,79.0,-1
29,-1,-1,1,1,1,17.0,-1
30,-1,1,1,1,-1,19.0,-1
31,1,1,1,-1,-1,20.0,1
32,1,1,-1,-1,1,19.0,0
33,1,-1,-1,1,0,19.0,-1
34,-1,-1,1,0,-1,21.0,-1
35,-1,1,0,-1,-1,33.0,-1
36,1,0,-1,-1,-1,54.0,-1
37,0,-1,-1,-1,-1,61.0,-1
38,-1,-1,-1,-1,-1,71.0,-1
39,1,1,-1,1,0,77.0,1
40,1,-1,1,0,1,73.0,-1
41,-1,1,0,1,-1,80.0,-1
42,1,0,1,-1,-1,82.0,-1
43,0,1,-1,-1,-1,89.0,-1
44,1,-1,-1,-1,-1,95.0,0
45,-1,-1,-1,-1,0,95.0,1
46,1,1,1,1,1,6.0,1
47,1,1,1,1,1,5.0,1
48,1,1,1,1,1,4.0,0
49,1,1,1,1,0,4.0,0
50,1,1,1,0,0,4.0,-1
51,1,1,0,0,-1,5.0,0
52,1,0,0,-1,0,5.0,-1
53,0,0,-1,0,-1,6.0,-1
54,0,-1,0,-1,-1,8.0,-1
55,-1,0,-1,-1,-1,9.0,-1
56,0,-1,-1,-1,-1,10.0,0
57,-1,-1,-1,-1,0,10.0,1
58,-1,-1,-1,0,1,7.0,0
59,-1,-1,0,1,0,7.0,0
60,-1,0,1,0,0,7.0,-1
61,0,1,0,0,-1,10.0,-1
62,1,1,-1,-1,-1,75.0,-1
63,1,-1,-1,-1,-1,77.0,-1
64,-1,-1,-1,-1,-1,79.0,0
65,-1,-1,-1,-1,0,79.0,-1
66,-1,-1,-1,0,-1,83.0,-1
67,1,1,1,1,-1,82.0,1
68,1,1,1,-1,1,69.0,1
69,1,1,-1,1,1,64.0,1
70,1,-1,1,1,1,59.0,-1
71,-1,1,1,1,-1,63.0,1
72,1,1,1,-1,1,59.0,-1
73,1,1,-1,1,-1,63.0,1
74,1,-1,1,-1,1,58.0,-1
75,-1,1,-1,1,-1,72.0,-1
76,1,-1,1,-1,-1,82.0,-1
77,1,1,1,1,1,32.0,1
78,1,1,1,1,1,25.0,1
79,1,1,1,1,1,15.0,1
