,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,next_rank
0,14.0,1.05401844532,0.888888888889,0.0,17.0,0.277777777778,101.0,2016-04-03 ~ 2016-04-09,$ave Dat Money%LIL DICKY ,1,101.0,101.0,89.0,95.0,101.0
1,15.0,12.9397669099,0.915824915825,0.010101010101,68.25,0.340067340067,101.0,2016-04-10 ~ 2016-04-16,$ave Dat Money%LIL DICKY ,1,101.0,101.0,101.0,89.0,101.0
2,16.0,3.94808992872,0.95,0.0,58.0,0.433333333333,101.0,2016-04-17 ~ 2016-04-23,$ave Dat Money%LIL DICKY ,1,101.0,101.0,101.0,101.0,0.0
0,14.0,7.78734338932,0.248322147651,0.0671140939597,3.45454545455,0.355704697987,18.0,2016-04-03 ~ 2016-04-09,2 Phones%KEVIN GATES,2,18.0,21.0,25.0,29.0,18.0
1,15.0,82.8051779335,0.199193141704,0.0564800806858,3.50442477876,0.537569339385,18.0,2016-04-10 ~ 2016-04-16,2 Phones%KEVIN GATES,2,18.0,18.0,21.0,25.0,18.0
2,16.0,45.0349461458,0.141700404858,0.0269905533063,5.04761904762,0.805668016194,18.0,2016-04-17 ~ 2016-04-23,2 Phones%KEVIN GATES,2,18.0,18.0,18.0,21.0,0.0
0,14.0,10.9030689125,0.330049261084,0.0246305418719,11.3333333333,0.290640394089,39.0,2016-04-03 ~ 2016-04-09,679%FETTY WAP ,3,40.0,39.0,35.0,30.0,40.0
1,15.0,83.6017962326,0.240080361627,0.01958814666,11.975,0.374183827223,40.0,2016-04-10 ~ 2016-04-16,679%FETTY WAP ,3,39.0,40.0,39.0,35.0,40.0
2,16.0,31.7544776474,0.228007181329,0.0143626570916,14.2222222222,0.138240574506,40.0,2016-04-17 ~ 2016-04-23,679%FETTY WAP ,3,40.0,39.0,40.0,39.0,0.0
0,15.0,0.00595238095238,0.0,0.0,1.0,0.0,2.0,2016-04-10 ~ 2016-04-16,7 Years%LUKAS GRAHAM,4,2.0,3.0,5.0,9.0,2.0
0,15.0,0.00595238095238,0.0,0.0,1.0,0.0,2.0,2016-04-10 ~ 2016-04-16,7 Years%LUKAS GRAHAM,4,2.0,3.0,5.0,9.0,2.0
0,14.0,0.00595238095238,0.261466873477,0.0169510303567,15.3311688312,4.46055838688,2.0,2016-04-03 ~ 2016-04-09,7 Years%LUKAS GRAHAM,4,3.0,5.0,9.0,12.0,2.0
0,14.0,0.00595238095238,0.0,0.0,1.0,0.0,73.0,2016-04-03 ~ 2016-04-09,Acquainted%THE WEEKND,5,76.0,77.0,75.0,76.0,70.0
0,14.0,0.00595238095238,1.0,0.0,3.0,0.0,73.0,2016-04-03 ~ 2016-04-09,Acquainted%THE WEEKND,5,76.0,77.0,75.0,76.0,70.0
1,16.0,0.00595238095238,1.0,0.0,2.0,0.0,70.0,2016-04-17 ~ 2016-04-23,Acquainted%THE WEEKND,5,70.0,73.0,76.0,77.0,0.0
0,14.0,0.00595238095238,0.0,0.0,1.0,0.0,76.0,2016-04-03 ~ 2016-04-09,Adventure Of A Lifetime%COLDPLAY,6,65.0,53.0,41.0,33.0,101.0
0,14.0,0.00595238095238,0.0,0.0,1.0,0.24,76.0,2016-04-03 ~ 2016-04-09,Adventure Of A Lifetime%COLDPLAY,6,65.0,53.0,41.0,33.0,101.0
