,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,next_rank
0,14,1.05401844532,0.888888888889,0.0,17.0,0.277777777778,101,2016-04-03 ~ 2016-04-09,$ave Dat Money%LIL DICKY ,1,101,101,89,95,101
1,15,12.9397669099,0.915824915825,0.010101010101,68.25,0.340067340067,101,2016-04-10 ~ 2016-04-16,$ave Dat Money%LIL DICKY ,1,101,101,101,89,101
2,16,3.94808992872,0.95,0.0,58.0,0.433333333333,101,2016-04-17 ~ 2016-04-23,$ave Dat Money%LIL DICKY ,1,101,101,101,101,0
0,14,7.78734338932,0.248322147651,0.0671140939597,3.45454545455,0.355704697987,18,2016-04-03 ~ 2016-04-09,2 Phones%KEVIN GATES,2,18,21,25,29,18
1,15,82.8051779335,0.199193141704,0.0564800806858,3.50442477876,0.537569339385,18,2016-04-10 ~ 2016-04-16,2 Phones%KEVIN GATES,2,18,18,21,25,18
2,16,45.0349461458,0.141700404858,0.0269905533063,5.04761904762,0.805668016194,18,2016-04-17 ~ 2016-04-23,2 Phones%KEVIN GATES,2,18,18,18,21,0
0,14,10.9030689125,0.330049261084,0.0246305418719,11.3333333333,0.290640394089,39,2016-04-03 ~ 2016-04-09,679%FETTY WAP ,3,40,39,35,30,40
1,15,83.6017962326,0.240080361627,0.01958814666,11.975,0.374183827223,40,2016-04-10 ~ 2016-04-16,679%FETTY WAP ,3,39,40,39,35,40
2,16,31.7544776474,0.228007181329,0.0143626570916,14.2222222222,0.138240574506,40,2016-04-17 ~ 2016-04-23,679%FETTY WAP ,3,40,39,40,39,0
0,15,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-10 ~ 2016-04-16,7 Years%LUKAS GRAHAM,4,2,3,5,9,2
0,14,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-03 ~ 2016-04-09,7 Years%LUKAS GRAHAM,4,3,5,9,12,2
0,16,842.873077222,0.261466873477,0.0169510303567,15.3311688312,4.46055838688,2,2016-04-17 ~ 2016-04-23,7 Years%LUKAS GRAHAM,4,2,2,3,5,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,73,2016-04-03 ~ 2016-04-09,Acquainted%THE WEEKND,5,76,77,75,76,70
0,15,0.087583782403,1.0,0.0,3.0,0.0,70,2016-04-10 ~ 2016-04-16,Acquainted%THE WEEKND,5,73,76,77,75,70
1,16,0.00595238095238,1.0,0.0,2.0,0.0,70,2016-04-17 ~ 2016-04-23,Acquainted%THE WEEKND,5,70,73,76,77,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-03 ~ 2016-04-09,Adventure Of A Lifetime%COLDPLAY,6,65,53,41,33,101
0,15,1.40644778172,0.0,0.0,1.0,0.24,101,2016-04-10 ~ 2016-04-16,Adventure Of A Lifetime%COLDPLAY,6,76,65,53,41,101
1,16,0.419588570097,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Adventure Of A Lifetime%COLDPLAY,6,101,76,65,53,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,All I Ask%ADELE,7,101,101,101,101,101
0,15,1.65232358003,0.0,0.05,0.5,0.0,101,2016-04-10 ~ 2016-04-16,All I Ask%ADELE,7,101,101,101,101,101
1,16,1.19178989186,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,All I Ask%ADELE,7,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,All The Way Up%FAT JOE & REMY MA ,8,101,101,101,101,91
1,15,0.00595238095238,0.0,0.0,1.0,0.0,91,2016-04-10 ~ 2016-04-16,All The Way Up%FAT JOE & REMY MA ,8,101,101,101,101,91
2,16,0.00595238095238,0.0,0.0,1.0,0.0,91,2016-04-17 ~ 2016-04-23,All The Way Up%FAT JOE & REMY MA ,8,91,101,101,101,0
0,15,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,American Country Love Song%JAKE OWEN,9,101,101,83,101,101
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,American Country Love Song%JAKE OWEN,9,101,83,101,101,101
0,16,0.00595238095238,1.0,0.0,2.0,0.0,101,2016-04-17 ~ 2016-04-23,American Country Love Song%JAKE OWEN,9,101,101,101,83,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Antidote%TRAVI$ SCOTT,10,101,101,47,40,101
0,15,0.542413741148,0.666666666667,0.0,3.0,0.0,101,2016-04-10 ~ 2016-04-16,Antidote%TRAVI$ SCOTT,10,101,101,101,47,101
1,16,1.00069492703,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Antidote%TRAVI$ SCOTT,10,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,30,2016-04-03 ~ 2016-04-09,Back To Sleep%CHRIS BROWN,11,29,25,20,36,37
0,15,0.137672568741,0.5,0.0,2.0,1.5,37,2016-04-10 ~ 2016-04-16,Back To Sleep%CHRIS BROWN,11,30,29,25,20,37
1,16,0.428545919886,0.0,0.5,0.5,0.0,37,2016-04-17 ~ 2016-04-23,Back To Sleep%CHRIS BROWN,11,37,30,29,25,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,94,2016-04-03 ~ 2016-04-09,Backroad Song%GRANGER SMITH,12,89,65,71,60,101
1,15,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Backroad Song%GRANGER SMITH,12,94,89,65,71,101
2,16,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Backroad Song%GRANGER SMITH,12,101,94,89,65,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Bang My Head%DAVID GUETTA ,13,101,101,101,101,101
0,15,1.34484182379,0.0,0.0,1.0,0.263157894737,101,2016-04-10 ~ 2016-04-16,Bang My Head%DAVID GUETTA ,13,101,101,101,101,101
1,16,0.182609026466,0.0,0.0,1.0,0.5,101,2016-04-17 ~ 2016-04-23,Bang My Head%DAVID GUETTA ,13,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,43,2016-04-03 ~ 2016-04-09,Be Alright%ARIANA GRANDE,14,101,101,101,101,101
0,16,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Be Alright%ARIANA GRANDE,14,101,43,101,101,0
0,15,0.247422680412,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Be Alright%ARIANA GRANDE,14,43,101,101,101,101
0,14,0.00595238095238,0.0,0.0,1.0,0.0,72,2016-04-03 ~ 2016-04-09,Beautiful Drug%ZAC BROWN BAND,15,52,55,57,59,76
1,15,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-10 ~ 2016-04-16,Beautiful Drug%ZAC BROWN BAND,15,72,52,55,57,76
2,16,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-17 ~ 2016-04-23,Beautiful Drug%ZAC BROWN BAND,15,76,72,52,55,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,65,2016-04-03 ~ 2016-04-09,Best Friend%YOUNG THUG,16,57,56,51,48,66
1,15,0.00595238095238,0.0,0.0,1.0,0.0,66,2016-04-10 ~ 2016-04-16,Best Friend%YOUNG THUG,16,65,57,56,51,66
2,16,0.00595238095238,0.0,0.0,1.0,0.0,66,2016-04-17 ~ 2016-04-23,Best Friend%YOUNG THUG,16,66,65,57,56,0
0,14,0.63464081093,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Bet You Can't Do It Like Me%DLOW,17,101,101,101,101,101
1,15,3.53738822836,0.428571428571,0.0142857142857,15.5,0.0428571428571,101,2016-04-10 ~ 2016-04-16,Bet You Can't Do It Like Me%DLOW,17,101,101,101,101,101
2,16,12.6859827721,0.277777777778,0.0,6.0,0.0,101,2016-04-17 ~ 2016-04-23,Bet You Can't Do It Like Me%DLOW,17,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,98,2016-04-03 ~ 2016-04-09,Body%DREEZY ,18,101,101,101,101,89
0,15,0.765265451453,0.416666666667,0.166666666667,2.0,0.583333333333,89,2016-04-10 ~ 2016-04-16,Body%DREEZY ,18,98,101,101,101,89
1,16,0.00595238095238,0.0,0.0,1.0,0.0,89,2016-04-17 ~ 2016-04-23,Body%DREEZY ,18,89,98,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Break On Me.%KEITH URBAN,19,99,81,65,54,101
1,15,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Break On Me.%KEITH URBAN,19,101,99,81,65,101
2,16,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Break On Me.%KEITH URBAN,19,101,101,99,81,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Break Up In A Small Town%SAM HUNT,20,101,101,101,101,101
1,15,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Break Up In A Small Town%SAM HUNT,20,101,101,101,101,101
2,16,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Break Up In A Small Town%SAM HUNT,20,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,9,2016-04-03 ~ 2016-04-09,Cake By The Ocean%DNCE,21,9,9,10,9,11
0,15,2.96213405302,0.48,0.06,6.25,0.42,11,2016-04-10 ~ 2016-04-16,Cake By The Ocean%DNCE,21,9,9,9,10,11
1,16,0.418103898819,0.1,0.0,2.0,0.1,11,2016-04-17 ~ 2016-04-23,Cake By The Ocean%DNCE,21,11,9,9,9,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,61,2016-04-03 ~ 2016-04-09,Came Here To Forget%BLAKE SHELTON,22,42,54,101,101,48
0,16,0.00595238095238,0.0,0.0,1.0,0.0,48,2016-04-17 ~ 2016-04-23,Came Here To Forget%BLAKE SHELTON,22,48,61,42,54,0
0,15,0.00595238095238,0.0,0.0,1.0,0.0,48,2016-04-10 ~ 2016-04-16,Came Here To Forget%BLAKE SHELTON,22,61,42,54,101,48
0,15,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Can't Feel My Face%THE WEEKND,23,101,50,45,39,101
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Can't Feel My Face%THE WEEKND,23,50,45,39,38,101
