,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank
0,1371,1.05401844532,0.888888888889,0.0,17.0,0.277777777778,101,2016-04-03 ~ 2016-04-09,$ave Dat Money%LIL DICKY ,1,101,89,95,95,89,82,80,73,77,101
1,1372,15.8152706677,0.911845730028,0.0110192837466,66.4,0.31129476584,101,2016-04-10 ~ 2016-04-16,$ave Dat Money%LIL DICKY ,1,101,101,89,95,95,89,82,80,73,101
2,1373,16937.704918,0.94425087108,0.0,272.0,0.243902439024,101,2016-04-17 ~ 2016-04-23,$ave Dat Money%LIL DICKY ,1,101,101,101,89,95,95,89,82,80,101
0,1371,7.78734338932,0.248322147651,0.0671140939597,3.45454545455,0.355704697987,18,2016-04-03 ~ 2016-04-09,2 Phones%KEVIN GATES,2,21,25,29,40,44,46,67,62,71,18
1,1372,102.097155848,0.2,0.0613496932515,3.24503311258,0.575051124744,18,2016-04-10 ~ 2016-04-16,2 Phones%KEVIN GATES,2,18,21,25,29,40,44,46,67,62,18
2,1373,3816.25441696,0.186666666667,0.0492592592593,3.76865671642,0.864444444444,18,2016-04-17 ~ 2016-04-23,2 Phones%KEVIN GATES,2,18,18,21,25,29,40,44,46,67,17
0,1371,10.9030689125,0.330049261084,0.0246305418719,11.3333333333,0.290640394089,40,2016-04-03 ~ 2016-04-09,679%FETTY WAP ,3,39,35,30,34,31,31,28,20,18,39
1,1372,101.867382049,0.23660346249,0.0193734542457,11.9791666667,0.360263808739,39,2016-04-10 ~ 2016-04-16,679%FETTY WAP ,3,40,39,35,30,34,31,31,28,20,40
2,1373,1771.76470588,0.219621513944,0.0199203187251,10.7804878049,0.227091633466,40,2016-04-17 ~ 2016-04-23,679%FETTY WAP ,3,39,40,39,35,30,34,31,31,28,101
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-10 ~ 2016-04-16,7 Years%LUKAS GRAHAM,4,3,5,9,12,20,35,43,57,96,2
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,3,2016-04-03 ~ 2016-04-09,7 Years%LUKAS GRAHAM,4,5,9,12,20,35,43,57,96,101,2
0,1373,1048.19782428,0.250581438968,0.0163553154775,15.2557077626,3.36214269638,2,2016-04-17 ~ 2016-04-23,7 Years%LUKAS GRAHAM,4,2,3,5,9,12,20,35,43,57,2
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-03 ~ 2016-04-09,Acquainted%THE WEEKND,5,77,75,76,82,95,98,99,100,101,73
0,1372,0.175167564806,1.0,0.0,5.0,0.0,73,2016-04-10 ~ 2016-04-16,Acquainted%THE WEEKND,5,76,77,75,76,82,95,98,99,100,70
1,1373,0.0119047619048,1.0,0.0,3.0,0.0,70,2016-04-17 ~ 2016-04-23,Acquainted%THE WEEKND,5,73,76,77,75,76,82,95,98,99,77
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,65,2016-04-03 ~ 2016-04-09,Adventure Of A Lifetime%COLDPLAY,6,53,41,33,28,13,36,45,47,50,76
0,1372,2.02528480568,0.0,0.0,1.0,0.25,76,2016-04-10 ~ 2016-04-16,Adventure Of A Lifetime%COLDPLAY,6,65,53,41,33,28,13,36,45,47,101
1,1373,19.4957983193,0.0,0.0,1.0,0.103448275862,101,2016-04-17 ~ 2016-04-23,Adventure Of A Lifetime%COLDPLAY,6,76,65,53,41,33,28,13,36,45,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,All I Ask%ADELE,7,101,101,101,77,101,101,101,101,101,101
