,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,next_rank
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,$ave Dat Money%LIL DICKY ,1,101,101,89,95,101
0,15,25.6294495572,0.914634146341,0.0121951219512,38.0,0.146341463415,101,2016-04-10 ~ 2016-04-16,$ave Dat Money%LIL DICKY ,1,101,101,101,89,101
1,16,13750.8196721,0.93991416309,0.0,220.0,0.197424892704,101,2016-04-17 ~ 2016-04-23,$ave Dat Money%LIL DICKY ,1,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,18,2016-04-03 ~ 2016-04-09,2 Phones%KEVIN GATES,2,18,21,25,29,18
0,15,9090.0,0.20396039604,0.0792079207921,2.53658536585,0.689108910891,18,2016-04-10 ~ 2016-04-16,2 Phones%KEVIN GATES,2,18,18,21,25,18
1,16,2826.85512367,0.204,0.0565,3.58771929825,0.8745,18,2016-04-17 ~ 2016-04-23,2 Phones%KEVIN GATES,2,18,18,18,21,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,39,2016-04-03 ~ 2016-04-09,679%FETTY WAP ,3,40,39,35,30,40
0,15,21.0358911338,0.222680412371,0.0185567010309,10.9,0.274226804124,40,2016-04-10 ~ 2016-04-16,679%FETTY WAP ,3,39,40,39,35,40
1,16,1319.11764706,0.216722408027,0.0214046822742,9.84848484848,0.255518394649,40,2016-04-17 ~ 2016-04-23,679%FETTY WAP ,3,40,39,40,39,0
0,15,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-10 ~ 2016-04-16,7 Years%LUKAS GRAHAM,4,2,3,5,9,2
0,14,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-03 ~ 2016-04-09,7 Years%LUKAS GRAHAM,4,3,5,9,12,2
0,16,439.193671855,0.227748082733,0.0151057401813,14.8636363636,1.0580990007,2,2016-04-17 ~ 2016-04-23,7 Years%LUKAS GRAHAM,4,2,2,3,5,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,73,2016-04-03 ~ 2016-04-09,Acquainted%THE WEEKND,5,76,77,75,76,70
0,15,0.131375673604,1.0,0.0,4.0,0.0,70,2016-04-10 ~ 2016-04-16,Acquainted%THE WEEKND,5,73,76,77,75,70
1,16,0.00595238095238,1.0,0.0,2.0,0.0,70,2016-04-17 ~ 2016-04-23,Acquainted%THE WEEKND,5,70,73,76,77,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-03 ~ 2016-04-09,Adventure Of A Lifetime%COLDPLAY,6,65,53,41,33,101
0,15,1.33396213703,0.0,0.0,1.0,0.272727272727,101,2016-04-10 ~ 2016-04-16,Adventure Of A Lifetime%COLDPLAY,6,76,65,53,41,101
1,16,15.4621848739,0.0,0.0,1.0,0.130434782609,101,2016-04-17 ~ 2016-04-23,Adventure Of A Lifetime%COLDPLAY,6,101,76,65,53,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,All I Ask%ADELE,7,101,101,101,101,101
0,15,0.668110114445,0.0,0.0833333333333,0.5,0.0,101,2016-04-10 ~ 2016-04-16,All I Ask%ADELE,7,101,101,101,101,101
1,16,2.01154777426,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,All I Ask%ADELE,7,101,101,101,101,0
0,14,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,All The Way Up%FAT JOE & REMY MA ,8,101,101,101,101,91
1,15,0.00595238095238,0.0,0.0,1.0,0.0,91,2016-04-10 ~ 2016-04-16,All The Way Up%FAT JOE & REMY MA ,8,101,101,101,101,91
