,diff_0,target
0,87.0,81.0
1,81.0,73.0
2,73.0,78.0
3,78.0,77.0
4,77.0,77.0
5,77.0,73.0
6,73.0,80.0
7,80.0,82.0
8,82.0,89.0
9,89.0,95.0
10,95.0,95.0
11,95.0,89.0
12,89.0,101.0
13,93.0,71.0
14,71.0,62.0
15,62.0,67.0
16,67.0,46.0
17,46.0,44.0
18,44.0,40.0
19,40.0,29.0
20,29.0,25.0
21,25.0,21.0
22,21.0,18.0
23,18.0,18.0
24,18.0,18.0
25,11.0,11.0
26,11.0,14.0
27,14.0,12.0
28,12.0,18.0
29,18.0,18.0
30,18.0,20.0
31,20.0,28.0
32,28.0,31.0
33,31.0,31.0
34,31.0,34.0
35,34.0,30.0
36,30.0,35.0
37,35.0,39.0
38,39.0,40.0
39,40.0,39.0
40,39.0,40.0
41,96.0,57.0
42,57.0,43.0
43,43.0,35.0
44,35.0,20.0
45,20.0,12.0
46,12.0,9.0
47,9.0,5.0
48,5.0,3.0
49,3.0,2.0
50,2.0,2.0
51,100.0,99.0
52,99.0,98.0
53,98.0,95.0
54,95.0,82.0
55,82.0,76.0
56,76.0,75.0
57,75.0,77.0
58,77.0,76.0
59,76.0,73.0
60,73.0,70.0
61,39.0,44.0
62,44.0,55.0
63,55.0,54.0
64,54.0,52.0
65,52.0,50.0
66,50.0,47.0
67,47.0,45.0
68,45.0,36.0
69,36.0,13.0
70,13.0,28.0
71,28.0,33.0
72,33.0,41.0
73,41.0,53.0
74,53.0,65.0
75,65.0,76.0
76,76.0,101.0
77,42.0,45.0
78,45.0,44.0
79,44.0,38.0
80,38.0,43.0
81,43.0,47.0
82,47.0,43.0
83,43.0,46.0
84,46.0,50.0
85,50.0,101.0
86,99.0,101.0
87,77.0,101.0
88,22.0,18.0
89,18.0,11.0
90,11.0,101.0
91,91.0,101.0
92,83.0,101.0
93,16.0,16.0
94,16.0,16.0
95,16.0,17.0
96,17.0,19.0
97,19.0,17.0
98,17.0,19.0
99,19.0,23.0
100,23.0,28.0
101,28.0,32.0
102,32.0,36.0
103,36.0,40.0
104,40.0,47.0
105,47.0,101.0
106,66.0,74.0
107,74.0,101.0
108,64.0,53.0
109,53.0,59.0
110,59.0,53.0
111,53.0,51.0
112,51.0,49.0
113,49.0,48.0
114,48.0,51.0
115,51.0,50.0
116,50.0,50.0
117,50.0,36.0
118,36.0,20.0
119,20.0,25.0
120,25.0,29.0
121,29.0,30.0
122,30.0,37.0
123,49.0,53.0
124,53.0,56.0
125,56.0,52.0
126,52.0,56.0
127,56.0,60.0
128,60.0,61.0
129,61.0,83.0
130,83.0,96.0
131,96.0,101.0
132,93.0,91.0
133,91.0,88.0
134,88.0,82.0
135,82.0,69.0
136,69.0,65.0
137,65.0,57.0
138,57.0,55.0
139,55.0,55.0
140,55.0,49.0
141,49.0,57.0
142,57.0,60.0
143,60.0,71.0
144,71.0,65.0
145,65.0,89.0
146,89.0,94.0
147,94.0,101.0
148,56.0,101.0
149,74.0,101.0
150,98.0,84.0
151,84.0,79.0
152,79.0,76.0
153,76.0,81.0
154,81.0,93.0
155,93.0,101.0
156,43.0,101.0
157,100.0,96.0
158,96.0,92.0
159,92.0,81.0
160,81.0,71.0
161,71.0,69.0
162,69.0,64.0
163,64.0,63.0
164,63.0,63.0
165,63.0,60.0
166,60.0,64.0
167,64.0,59.0
168,59.0,57.0
169,57.0,55.0
170,55.0,52.0
171,52.0,72.0
172,72.0,76.0
173,72.0,78.0
174,78.0,63.0
175,63.0,67.0
176,67.0,60.0
177,60.0,52.0
178,52.0,45.0
179,45.0,49.0
180,49.0,52.0
181,52.0,53.0
182,53.0,51.0
183,51.0,48.0
184,48.0,51.0
185,51.0,56.0
186,56.0,57.0
187,57.0,65.0
188,65.0,66.0
189,60.0,68.0
190,68.0,48.0
191,48.0,51.0
192,51.0,59.0
193,59.0,58.0
194,58.0,53.0
195,53.0,78.0
196,78.0,90.0
197,90.0,91.0
198,91.0,97.0
199,97.0,101.0
200,64.0,70.0
201,70.0,61.0
202,61.0,57.0
203,57.0,63.0
204,63.0,63.0
205,63.0,63.0
206,63.0,71.0
207,71.0,73.0
208,73.0,101.0
209,78.0,101.0
210,81.0,83.0
211,83.0,87.0
212,87.0,83.0
213,83.0,99.0
214,99.0,99.0
215,99.0,101.0
216,98.0,89.0
217,97.0,101.0
218,94.0,74.0
219,74.0,72.0
220,72.0,65.0
221,65.0,61.0
222,61.0,62.0
223,62.0,61.0
224,61.0,66.0
225,66.0,54.0
226,54.0,65.0
227,65.0,81.0
228,81.0,99.0
229,99.0,101.0
230,34.0,34.0
231,34.0,32.0
232,32.0,29.0
233,29.0,34.0
234,34.0,33.0
235,33.0,33.0
236,33.0,30.0
237,30.0,33.0
238,33.0,40.0
239,40.0,47.0
240,47.0,101.0
241,47.0,29.0
242,29.0,50.0
243,50.0,44.0
244,44.0,101.0
245,56.0,101.0
246,63.0,47.0
247,47.0,43.0
248,43.0,41.0
249,41.0,26.0
250,26.0,22.0
251,22.0,22.0
252,22.0,18.0
253,18.0,14.0
254,14.0,11.0
255,11.0,10.0
256,10.0,9.0
257,9.0,10.0
258,10.0,9.0
259,9.0,9.0
260,9.0,9.0
261,9.0,11.0
262,54.0,42.0
263,42.0,61.0
264,61.0,48.0
265,15.0,15.0
266,15.0,21.0
267,21.0,24.0
268,24.0,24.0
269,24.0,27.0
270,27.0,32.0
271,32.0,35.0
272,35.0,42.0
273,42.0,42.0
274,42.0,32.0
275,32.0,38.0
276,38.0,39.0
277,39.0,45.0
278,45.0,50.0
279,50.0,101.0
280,81.0,97.0
281,97.0,91.0
282,91.0,92.0
283,92.0,87.0
284,87.0,71.0
285,71.0,39.0
286,43.0,49.0
287,49.0,101.0
288,72.0,101.0
289,79.0,84.0
290,84.0,76.0
291,76.0,71.0
292,71.0,85.0
293,85.0,96.0
294,96.0,97.0
295,97.0,101.0
296,95.0,101.0
297,89.0,77.0
298,77.0,66.0
299,66.0,57.0
300,99.0,91.0
301,91.0,84.0
302,84.0,78.0
303,78.0,69.0
304,69.0,69.0
305,69.0,68.0
306,68.0,69.0
307,69.0,62.0
308,62.0,62.0
309,62.0,60.0
310,60.0,60.0
311,60.0,55.0
312,55.0,56.0
313,31.0,30.0
314,30.0,27.0
315,27.0,23.0
316,23.0,25.0
317,25.0,30.0
318,30.0,40.0
319,40.0,47.0
320,47.0,67.0
321,67.0,70.0
322,70.0,75.0
323,75.0,101.0
324,94.0,94.0
325,94.0,101.0
326,94.0,85.0
327,85.0,80.0
328,80.0,74.0
329,74.0,68.0
330,68.0,62.0
331,10.0,13.0
332,13.0,12.0
333,92.0,101.0
334,89.0,92.0
335,92.0,75.0
336,75.0,73.0
337,73.0,73.0
338,73.0,79.0
339,79.0,68.0
340,68.0,90.0
341,90.0,93.0
342,93.0,98.0
343,98.0,100.0
344,100.0,101.0
345,86.0,87.0
346,87.0,97.0
347,97.0,76.0
348,76.0,75.0
349,75.0,75.0
350,75.0,71.0
351,71.0,66.0
352,66.0,66.0
353,66.0,58.0
354,58.0,60.0
355,60.0,69.0
356,69.0,101.0
357,83.0,101.0
358,25.0,21.0
359,21.0,25.0
360,25.0,25.0
361,25.0,23.0
362,23.0,24.0
363,24.0,25.0
364,25.0,26.0
365,26.0,30.0
366,30.0,30.0
367,30.0,35.0
368,35.0,39.0
369,39.0,38.0
370,38.0,41.0
371,41.0,43.0
372,43.0,44.0
373,44.0,45.0
374,85.0,101.0
375,81.0,76.0
376,76.0,63.0
377,63.0,54.0
378,54.0,31.0
379,31.0,25.0
380,20.0,20.0
381,20.0,18.0
382,18.0,21.0
383,21.0,17.0
384,17.0,13.0
385,13.0,15.0
386,15.0,16.0
