,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,diff_9,target
0,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
1,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
2,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
3,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
4,93.0,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0
5,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0
6,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0,18.0
7,11.0,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0
8,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0
9,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0
10,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0
11,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0
12,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0
13,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0,40.0
14,96.0,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0,2.0
15,100.0,99.0,98.0,95.0,82.0,76.0,75.0,77.0,76.0,73.0,70.0
16,39.0,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0
17,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0
18,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0
19,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0
20,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0
21,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0
22,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0,101.0
23,16.0,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0
24,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0
25,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0
26,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0,101.0
27,64.0,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0
28,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0
29,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0
30,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0
31,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0
32,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0,37.0
33,93.0,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0
34,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0
35,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0
36,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0
37,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0
38,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0
39,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0,101.0
40,100.0,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0
41,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0
42,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0
43,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0
44,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0
45,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0
46,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0,76.0
47,72.0,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0
48,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0
49,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0
50,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0
51,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0
52,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0
53,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0,66.0
54,60.0,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0
55,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0,101.0
56,94.0,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0
57,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0
58,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0,101.0
59,34.0,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0
60,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0,101.0
61,63.0,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0
62,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0
63,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0
64,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0
65,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0
66,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0
67,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0
68,15.0,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0
69,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0
70,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0
71,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0
72,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0
73,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0,101.0
74,99.0,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0
75,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0
76,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0,55.0
77,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0,55.0,56.0
78,31.0,30.0,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0,75.0
79,30.0,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0,75.0,101.0
80,89.0,92.0,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0,100.0
81,92.0,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0,100.0,101.0
82,86.0,87.0,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0
83,87.0,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0,69.0
84,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0,69.0,101.0
85,25.0,21.0,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0
86,21.0,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0
87,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0
88,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0
89,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0
90,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0,44.0
91,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0,44.0,45.0
92,20.0,20.0,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0
93,20.0,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0
94,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0
95,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0
96,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0
97,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0,23.0
98,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0,23.0,24.0
99,68.0,57.0,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0
100,57.0,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0,13.0
101,52.0,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0,13.0,18.0
102,48.0,39.0,36.0,31.0,33.0,39.0,21.0,18.0,13.0,18.0,18.0
103,39.0,36.0,31.0,33.0,39.0,21.0,18.0,13.0,18.0,18.0,22.0
104,36.0,31.0,33.0,39.0,21.0,18.0,13.0,18.0,18.0,22.0,25.0
105,31.0,33.0,39.0,21.0,18.0,13.0,18.0,18.0,22.0,25.0,26.0
106,94.0,69.0,62.0,61.0,59.0,61.0,52.0,54.0,49.0,44.0,40.0
107,69.0,62.0,61.0,59.0,61.0,52.0,54.0,49.0,44.0,40.0,35.0
