,diff_0,diff_1,target
0,87.0,81.0,73.0
1,81.0,73.0,78.0
2,73.0,78.0,77.0
3,78.0,77.0,77.0
4,77.0,77.0,73.0
5,77.0,73.0,80.0
6,73.0,80.0,82.0
7,80.0,82.0,89.0
8,82.0,89.0,95.0
9,89.0,95.0,95.0
10,95.0,95.0,89.0
11,95.0,89.0,101.0
12,93.0,71.0,62.0
13,71.0,62.0,67.0
14,62.0,67.0,46.0
15,67.0,46.0,44.0
16,46.0,44.0,40.0
17,44.0,40.0,29.0
18,40.0,29.0,25.0
19,29.0,25.0,21.0
20,25.0,21.0,18.0
21,21.0,18.0,18.0
22,18.0,18.0,18.0
23,11.0,11.0,14.0
24,11.0,14.0,12.0
25,14.0,12.0,18.0
26,12.0,18.0,18.0
27,18.0,18.0,20.0
28,18.0,20.0,28.0
29,20.0,28.0,31.0
30,28.0,31.0,31.0
31,31.0,31.0,34.0
32,31.0,34.0,30.0
33,34.0,30.0,35.0
34,30.0,35.0,39.0
35,35.0,39.0,40.0
36,39.0,40.0,39.0
37,40.0,39.0,40.0
38,96.0,57.0,43.0
39,57.0,43.0,35.0
40,43.0,35.0,20.0
41,35.0,20.0,12.0
42,20.0,12.0,9.0
43,12.0,9.0,5.0
44,9.0,5.0,3.0
45,5.0,3.0,2.0
46,3.0,2.0,2.0
47,100.0,99.0,98.0
48,99.0,98.0,95.0
49,98.0,95.0,82.0
50,95.0,82.0,76.0
51,82.0,76.0,75.0
52,76.0,75.0,77.0
53,75.0,77.0,76.0
54,77.0,76.0,73.0
55,76.0,73.0,70.0
56,39.0,44.0,55.0
57,44.0,55.0,54.0
58,55.0,54.0,52.0
59,54.0,52.0,50.0
60,52.0,50.0,47.0
61,50.0,47.0,45.0
62,47.0,45.0,36.0
63,45.0,36.0,13.0
64,36.0,13.0,28.0
65,13.0,28.0,33.0
66,28.0,33.0,41.0
67,33.0,41.0,53.0
68,41.0,53.0,65.0
69,53.0,65.0,76.0
70,65.0,76.0,101.0
71,42.0,45.0,44.0
72,45.0,44.0,38.0
73,44.0,38.0,43.0
74,38.0,43.0,47.0
75,43.0,47.0,43.0
76,47.0,43.0,46.0
77,43.0,46.0,50.0
78,46.0,50.0,101.0
79,22.0,18.0,11.0
80,18.0,11.0,101.0
81,16.0,16.0,16.0
82,16.0,16.0,17.0
83,16.0,17.0,19.0
84,17.0,19.0,17.0
85,19.0,17.0,19.0
86,17.0,19.0,23.0
87,19.0,23.0,28.0
88,23.0,28.0,32.0
89,28.0,32.0,36.0
90,32.0,36.0,40.0
91,36.0,40.0,47.0
92,40.0,47.0,101.0
93,66.0,74.0,101.0
94,64.0,53.0,59.0
95,53.0,59.0,53.0
96,59.0,53.0,51.0
97,53.0,51.0,49.0
98,51.0,49.0,48.0
99,49.0,48.0,51.0
100,48.0,51.0,50.0
101,51.0,50.0,50.0
102,50.0,50.0,36.0
103,50.0,36.0,20.0
104,36.0,20.0,25.0
105,20.0,25.0,29.0
106,25.0,29.0,30.0
107,29.0,30.0,37.0
108,49.0,53.0,56.0
109,53.0,56.0,52.0
110,56.0,52.0,56.0
111,52.0,56.0,60.0
112,56.0,60.0,61.0
113,60.0,61.0,83.0
114,61.0,83.0,96.0
115,83.0,96.0,101.0
116,93.0,91.0,88.0
117,91.0,88.0,82.0
118,88.0,82.0,69.0
119,82.0,69.0,65.0
120,69.0,65.0,57.0
121,65.0,57.0,55.0
122,57.0,55.0,55.0
123,55.0,55.0,49.0
124,55.0,49.0,57.0
125,49.0,57.0,60.0
126,57.0,60.0,71.0
127,60.0,71.0,65.0
128,71.0,65.0,89.0
129,65.0,89.0,94.0
130,89.0,94.0,101.0
131,98.0,84.0,79.0
132,84.0,79.0,76.0
133,79.0,76.0,81.0
134,76.0,81.0,93.0
135,81.0,93.0,101.0
136,100.0,96.0,92.0
137,96.0,92.0,81.0
138,92.0,81.0,71.0
139,81.0,71.0,69.0
140,71.0,69.0,64.0
141,69.0,64.0,63.0
142,64.0,63.0,63.0
143,63.0,63.0,60.0
144,63.0,60.0,64.0
145,60.0,64.0,59.0
146,64.0,59.0,57.0
147,59.0,57.0,55.0
148,57.0,55.0,52.0
149,55.0,52.0,72.0
150,52.0,72.0,76.0
151,72.0,78.0,63.0
152,78.0,63.0,67.0
153,63.0,67.0,60.0
154,67.0,60.0,52.0
155,60.0,52.0,45.0
156,52.0,45.0,49.0
157,45.0,49.0,52.0
158,49.0,52.0,53.0
159,52.0,53.0,51.0
160,53.0,51.0,48.0
161,51.0,48.0,51.0
162,48.0,51.0,56.0
163,51.0,56.0,57.0
164,56.0,57.0,65.0
165,57.0,65.0,66.0
166,60.0,68.0,48.0
167,68.0,48.0,51.0
168,48.0,51.0,59.0
169,51.0,59.0,58.0
170,59.0,58.0,53.0
171,58.0,53.0,78.0
172,53.0,78.0,90.0
173,78.0,90.0,91.0
174,90.0,91.0,97.0
175,91.0,97.0,101.0
176,64.0,70.0,61.0
177,70.0,61.0,57.0
178,61.0,57.0,63.0
179,57.0,63.0,63.0
180,63.0,63.0,63.0
181,63.0,63.0,71.0
182,63.0,71.0,73.0
183,71.0,73.0,101.0
184,81.0,83.0,87.0
185,83.0,87.0,83.0
186,87.0,83.0,99.0
187,83.0,99.0,99.0
188,99.0,99.0,101.0
189,94.0,74.0,72.0
190,74.0,72.0,65.0
191,72.0,65.0,61.0
192,65.0,61.0,62.0
193,61.0,62.0,61.0
194,62.0,61.0,66.0
