,diff_0,diff_1,diff_2,target
0,87.0,81.0,73.0,78.0
1,81.0,73.0,78.0,77.0
2,73.0,78.0,77.0,77.0
3,78.0,77.0,77.0,73.0
4,77.0,77.0,73.0,80.0
5,77.0,73.0,80.0,82.0
6,73.0,80.0,82.0,89.0
7,80.0,82.0,89.0,95.0
8,82.0,89.0,95.0,95.0
9,89.0,95.0,95.0,89.0
10,95.0,95.0,89.0,101.0
11,93.0,71.0,62.0,67.0
12,71.0,62.0,67.0,46.0
13,62.0,67.0,46.0,44.0
14,67.0,46.0,44.0,40.0
15,46.0,44.0,40.0,29.0
16,44.0,40.0,29.0,25.0
17,40.0,29.0,25.0,21.0
18,29.0,25.0,21.0,18.0
19,25.0,21.0,18.0,18.0
20,21.0,18.0,18.0,18.0
21,11.0,11.0,14.0,12.0
22,11.0,14.0,12.0,18.0
23,14.0,12.0,18.0,18.0
24,12.0,18.0,18.0,20.0
25,18.0,18.0,20.0,28.0
26,18.0,20.0,28.0,31.0
27,20.0,28.0,31.0,31.0
28,28.0,31.0,31.0,34.0
29,31.0,31.0,34.0,30.0
30,31.0,34.0,30.0,35.0
31,34.0,30.0,35.0,39.0
32,30.0,35.0,39.0,40.0
33,35.0,39.0,40.0,39.0
34,39.0,40.0,39.0,40.0
35,96.0,57.0,43.0,35.0
36,57.0,43.0,35.0,20.0
37,43.0,35.0,20.0,12.0
38,35.0,20.0,12.0,9.0
39,20.0,12.0,9.0,5.0
40,12.0,9.0,5.0,3.0
41,9.0,5.0,3.0,2.0
42,5.0,3.0,2.0,2.0
43,100.0,99.0,98.0,95.0
44,99.0,98.0,95.0,82.0
45,98.0,95.0,82.0,76.0
46,95.0,82.0,76.0,75.0
47,82.0,76.0,75.0,77.0
48,76.0,75.0,77.0,76.0
49,75.0,77.0,76.0,73.0
50,77.0,76.0,73.0,70.0
51,39.0,44.0,55.0,54.0
52,44.0,55.0,54.0,52.0
53,55.0,54.0,52.0,50.0
54,54.0,52.0,50.0,47.0
55,52.0,50.0,47.0,45.0
56,50.0,47.0,45.0,36.0
57,47.0,45.0,36.0,13.0
58,45.0,36.0,13.0,28.0
59,36.0,13.0,28.0,33.0
60,13.0,28.0,33.0,41.0
61,28.0,33.0,41.0,53.0
62,33.0,41.0,53.0,65.0
63,41.0,53.0,65.0,76.0
64,53.0,65.0,76.0,101.0
65,42.0,45.0,44.0,38.0
66,45.0,44.0,38.0,43.0
67,44.0,38.0,43.0,47.0
68,38.0,43.0,47.0,43.0
69,43.0,47.0,43.0,46.0
70,47.0,43.0,46.0,50.0
71,43.0,46.0,50.0,101.0
72,22.0,18.0,11.0,101.0
73,16.0,16.0,16.0,17.0
74,16.0,16.0,17.0,19.0
75,16.0,17.0,19.0,17.0
76,17.0,19.0,17.0,19.0
77,19.0,17.0,19.0,23.0
78,17.0,19.0,23.0,28.0
79,19.0,23.0,28.0,32.0
80,23.0,28.0,32.0,36.0
81,28.0,32.0,36.0,40.0
82,32.0,36.0,40.0,47.0
83,36.0,40.0,47.0,101.0
84,64.0,53.0,59.0,53.0
85,53.0,59.0,53.0,51.0
86,59.0,53.0,51.0,49.0
87,53.0,51.0,49.0,48.0
88,51.0,49.0,48.0,51.0
89,49.0,48.0,51.0,50.0
90,48.0,51.0,50.0,50.0
91,51.0,50.0,50.0,36.0
92,50.0,50.0,36.0,20.0
93,50.0,36.0,20.0,25.0
94,36.0,20.0,25.0,29.0
95,20.0,25.0,29.0,30.0
96,25.0,29.0,30.0,37.0
97,49.0,53.0,56.0,52.0
98,53.0,56.0,52.0,56.0
99,56.0,52.0,56.0,60.0
100,52.0,56.0,60.0,61.0
101,56.0,60.0,61.0,83.0
102,60.0,61.0,83.0,96.0
103,61.0,83.0,96.0,101.0
104,93.0,91.0,88.0,82.0
105,91.0,88.0,82.0,69.0
106,88.0,82.0,69.0,65.0
107,82.0,69.0,65.0,57.0
108,69.0,65.0,57.0,55.0
109,65.0,57.0,55.0,55.0
110,57.0,55.0,55.0,49.0
111,55.0,55.0,49.0,57.0
112,55.0,49.0,57.0,60.0
113,49.0,57.0,60.0,71.0
114,57.0,60.0,71.0,65.0
115,60.0,71.0,65.0,89.0
116,71.0,65.0,89.0,94.0
117,65.0,89.0,94.0,101.0
118,98.0,84.0,79.0,76.0
119,84.0,79.0,76.0,81.0
120,79.0,76.0,81.0,93.0
121,76.0,81.0,93.0,101.0
122,100.0,96.0,92.0,81.0
123,96.0,92.0,81.0,71.0
124,92.0,81.0,71.0,69.0
125,81.0,71.0,69.0,64.0
126,71.0,69.0,64.0,63.0
127,69.0,64.0,63.0,63.0
128,64.0,63.0,63.0,60.0
129,63.0,63.0,60.0,64.0
130,63.0,60.0,64.0,59.0
131,60.0,64.0,59.0,57.0
132,64.0,59.0,57.0,55.0
133,59.0,57.0,55.0,52.0
134,57.0,55.0,52.0,72.0
135,55.0,52.0,72.0,76.0
136,72.0,78.0,63.0,67.0
137,78.0,63.0,67.0,60.0
138,63.0,67.0,60.0,52.0
139,67.0,60.0,52.0,45.0
140,60.0,52.0,45.0,49.0
141,52.0,45.0,49.0,52.0
142,45.0,49.0,52.0,53.0
143,49.0,52.0,53.0,51.0
144,52.0,53.0,51.0,48.0
145,53.0,51.0,48.0,51.0
146,51.0,48.0,51.0,56.0
147,48.0,51.0,56.0,57.0
148,51.0,56.0,57.0,65.0
149,56.0,57.0,65.0,66.0
150,60.0,68.0,48.0,51.0
