,diff_0,diff_1,diff_2,diff_3,target
0,87.0,81.0,73.0,78.0,77.0
1,81.0,73.0,78.0,77.0,77.0
2,73.0,78.0,77.0,77.0,73.0
3,78.0,77.0,77.0,73.0,80.0
4,77.0,77.0,73.0,80.0,82.0
5,77.0,73.0,80.0,82.0,89.0
6,73.0,80.0,82.0,89.0,95.0
7,80.0,82.0,89.0,95.0,95.0
8,82.0,89.0,95.0,95.0,89.0
9,89.0,95.0,95.0,89.0,101.0
10,93.0,71.0,62.0,67.0,46.0
11,71.0,62.0,67.0,46.0,44.0
12,62.0,67.0,46.0,44.0,40.0
13,67.0,46.0,44.0,40.0,29.0
14,46.0,44.0,40.0,29.0,25.0
15,44.0,40.0,29.0,25.0,21.0
16,40.0,29.0,25.0,21.0,18.0
17,29.0,25.0,21.0,18.0,18.0
18,25.0,21.0,18.0,18.0,18.0
19,11.0,11.0,14.0,12.0,18.0
20,11.0,14.0,12.0,18.0,18.0
21,14.0,12.0,18.0,18.0,20.0
22,12.0,18.0,18.0,20.0,28.0
23,18.0,18.0,20.0,28.0,31.0
24,18.0,20.0,28.0,31.0,31.0
25,20.0,28.0,31.0,31.0,34.0
26,28.0,31.0,31.0,34.0,30.0
27,31.0,31.0,34.0,30.0,35.0
28,31.0,34.0,30.0,35.0,39.0
29,34.0,30.0,35.0,39.0,40.0
30,30.0,35.0,39.0,40.0,39.0
31,35.0,39.0,40.0,39.0,40.0
32,96.0,57.0,43.0,35.0,20.0
33,57.0,43.0,35.0,20.0,12.0
34,43.0,35.0,20.0,12.0,9.0
35,35.0,20.0,12.0,9.0,5.0
36,20.0,12.0,9.0,5.0,3.0
37,12.0,9.0,5.0,3.0,2.0
38,9.0,5.0,3.0,2.0,2.0
39,100.0,99.0,98.0,95.0,82.0
40,99.0,98.0,95.0,82.0,76.0
41,98.0,95.0,82.0,76.0,75.0
42,95.0,82.0,76.0,75.0,77.0
43,82.0,76.0,75.0,77.0,76.0
44,76.0,75.0,77.0,76.0,73.0
45,75.0,77.0,76.0,73.0,70.0
46,39.0,44.0,55.0,54.0,52.0
47,44.0,55.0,54.0,52.0,50.0
48,55.0,54.0,52.0,50.0,47.0
49,54.0,52.0,50.0,47.0,45.0
50,52.0,50.0,47.0,45.0,36.0
51,50.0,47.0,45.0,36.0,13.0
52,47.0,45.0,36.0,13.0,28.0
53,45.0,36.0,13.0,28.0,33.0
54,36.0,13.0,28.0,33.0,41.0
55,13.0,28.0,33.0,41.0,53.0
56,28.0,33.0,41.0,53.0,65.0
57,33.0,41.0,53.0,65.0,76.0
58,41.0,53.0,65.0,76.0,101.0
59,42.0,45.0,44.0,38.0,43.0
60,45.0,44.0,38.0,43.0,47.0
61,44.0,38.0,43.0,47.0,43.0
62,38.0,43.0,47.0,43.0,46.0
63,43.0,47.0,43.0,46.0,50.0
64,47.0,43.0,46.0,50.0,101.0
65,16.0,16.0,16.0,17.0,19.0
66,16.0,16.0,17.0,19.0,17.0
67,16.0,17.0,19.0,17.0,19.0
68,17.0,19.0,17.0,19.0,23.0
69,19.0,17.0,19.0,23.0,28.0
70,17.0,19.0,23.0,28.0,32.0
71,19.0,23.0,28.0,32.0,36.0
72,23.0,28.0,32.0,36.0,40.0
73,28.0,32.0,36.0,40.0,47.0
74,32.0,36.0,40.0,47.0,101.0
75,64.0,53.0,59.0,53.0,51.0
76,53.0,59.0,53.0,51.0,49.0
77,59.0,53.0,51.0,49.0,48.0
78,53.0,51.0,49.0,48.0,51.0
79,51.0,49.0,48.0,51.0,50.0
80,49.0,48.0,51.0,50.0,50.0
81,48.0,51.0,50.0,50.0,36.0
82,51.0,50.0,50.0,36.0,20.0
83,50.0,50.0,36.0,20.0,25.0
84,50.0,36.0,20.0,25.0,29.0
85,36.0,20.0,25.0,29.0,30.0
86,20.0,25.0,29.0,30.0,37.0
87,49.0,53.0,56.0,52.0,56.0
88,53.0,56.0,52.0,56.0,60.0
89,56.0,52.0,56.0,60.0,61.0
90,52.0,56.0,60.0,61.0,83.0
91,56.0,60.0,61.0,83.0,96.0
92,60.0,61.0,83.0,96.0,101.0
93,93.0,91.0,88.0,82.0,69.0
94,91.0,88.0,82.0,69.0,65.0
95,88.0,82.0,69.0,65.0,57.0
96,82.0,69.0,65.0,57.0,55.0
97,69.0,65.0,57.0,55.0,55.0
98,65.0,57.0,55.0,55.0,49.0
99,57.0,55.0,55.0,49.0,57.0
100,55.0,55.0,49.0,57.0,60.0
101,55.0,49.0,57.0,60.0,71.0
102,49.0,57.0,60.0,71.0,65.0
103,57.0,60.0,71.0,65.0,89.0
104,60.0,71.0,65.0,89.0,94.0
105,71.0,65.0,89.0,94.0,101.0
106,98.0,84.0,79.0,76.0,81.0
107,84.0,79.0,76.0,81.0,93.0
108,79.0,76.0,81.0,93.0,101.0
109,100.0,96.0,92.0,81.0,71.0
110,96.0,92.0,81.0,71.0,69.0
111,92.0,81.0,71.0,69.0,64.0
112,81.0,71.0,69.0,64.0,63.0
113,71.0,69.0,64.0,63.0,63.0
114,69.0,64.0,63.0,63.0,60.0
