,diff_0,diff_1,diff_2,diff_3,diff_4,target
0,87.0,81.0,73.0,78.0,77.0,77.0
1,81.0,73.0,78.0,77.0,77.0,73.0
2,73.0,78.0,77.0,77.0,73.0,80.0
3,78.0,77.0,77.0,73.0,80.0,82.0
4,77.0,77.0,73.0,80.0,82.0,89.0
5,77.0,73.0,80.0,82.0,89.0,95.0
6,73.0,80.0,82.0,89.0,95.0,95.0
7,80.0,82.0,89.0,95.0,95.0,89.0
8,82.0,89.0,95.0,95.0,89.0,101.0
9,93.0,71.0,62.0,67.0,46.0,44.0
10,71.0,62.0,67.0,46.0,44.0,40.0
11,62.0,67.0,46.0,44.0,40.0,29.0
12,67.0,46.0,44.0,40.0,29.0,25.0
13,46.0,44.0,40.0,29.0,25.0,21.0
14,44.0,40.0,29.0,25.0,21.0,18.0
15,40.0,29.0,25.0,21.0,18.0,18.0
16,29.0,25.0,21.0,18.0,18.0,18.0
17,11.0,11.0,14.0,12.0,18.0,18.0
18,11.0,14.0,12.0,18.0,18.0,20.0
19,14.0,12.0,18.0,18.0,20.0,28.0
20,12.0,18.0,18.0,20.0,28.0,31.0
21,18.0,18.0,20.0,28.0,31.0,31.0
22,18.0,20.0,28.0,31.0,31.0,34.0
23,20.0,28.0,31.0,31.0,34.0,30.0
24,28.0,31.0,31.0,34.0,30.0,35.0
25,31.0,31.0,34.0,30.0,35.0,39.0
26,31.0,34.0,30.0,35.0,39.0,40.0
27,34.0,30.0,35.0,39.0,40.0,39.0
28,30.0,35.0,39.0,40.0,39.0,40.0
29,96.0,57.0,43.0,35.0,20.0,12.0
30,57.0,43.0,35.0,20.0,12.0,9.0
31,43.0,35.0,20.0,12.0,9.0,5.0
32,35.0,20.0,12.0,9.0,5.0,3.0
33,20.0,12.0,9.0,5.0,3.0,2.0
34,12.0,9.0,5.0,3.0,2.0,2.0
35,100.0,99.0,98.0,95.0,82.0,76.0
36,99.0,98.0,95.0,82.0,76.0,75.0
