,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
0,87.0,81.0,73.0,78.0,77.0,77.0,73.0
1,81.0,73.0,78.0,77.0,77.0,73.0,80.0
2,73.0,78.0,77.0,77.0,73.0,80.0,82.0
3,78.0,77.0,77.0,73.0,80.0,82.0,89.0
4,77.0,77.0,73.0,80.0,82.0,89.0,95.0
5,77.0,73.0,80.0,82.0,89.0,95.0,95.0
6,73.0,80.0,82.0,89.0,95.0,95.0,89.0
7,80.0,82.0,89.0,95.0,95.0,89.0,101.0
8,93.0,71.0,62.0,67.0,46.0,44.0,40.0
9,71.0,62.0,67.0,46.0,44.0,40.0,29.0
10,62.0,67.0,46.0,44.0,40.0,29.0,25.0
11,67.0,46.0,44.0,40.0,29.0,25.0,21.0
12,46.0,44.0,40.0,29.0,25.0,21.0,18.0
13,44.0,40.0,29.0,25.0,21.0,18.0,18.0
14,40.0,29.0,25.0,21.0,18.0,18.0,18.0
15,11.0,11.0,14.0,12.0,18.0,18.0,20.0
16,11.0,14.0,12.0,18.0,18.0,20.0,28.0
17,14.0,12.0,18.0,18.0,20.0,28.0,31.0
18,12.0,18.0,18.0,20.0,28.0,31.0,31.0
19,18.0,18.0,20.0,28.0,31.0,31.0,34.0
20,18.0,20.0,28.0,31.0,31.0,34.0,30.0
21,20.0,28.0,31.0,31.0,34.0,30.0,35.0
22,28.0,31.0,31.0,34.0,30.0,35.0,39.0
23,31.0,31.0,34.0,30.0,35.0,39.0,40.0
24,31.0,34.0,30.0,35.0,39.0,40.0,39.0
25,34.0,30.0,35.0,39.0,40.0,39.0,40.0
26,96.0,57.0,43.0,35.0,20.0,12.0,9.0
27,57.0,43.0,35.0,20.0,12.0,9.0,5.0
28,43.0,35.0,20.0,12.0,9.0,5.0,3.0
29,35.0,20.0,12.0,9.0,5.0,3.0,2.0
30,20.0,12.0,9.0,5.0,3.0,2.0,2.0
31,100.0,99.0,98.0,95.0,82.0,76.0,75.0
32,99.0,98.0,95.0,82.0,76.0,75.0,77.0
33,98.0,95.0,82.0,76.0,75.0,77.0,76.0
34,95.0,82.0,76.0,75.0,77.0,76.0,73.0
35,82.0,76.0,75.0,77.0,76.0,73.0,70.0
36,39.0,44.0,55.0,54.0,52.0,50.0,47.0
37,44.0,55.0,54.0,52.0,50.0,47.0,45.0
38,55.0,54.0,52.0,50.0,47.0,45.0,36.0
39,54.0,52.0,50.0,47.0,45.0,36.0,13.0
40,52.0,50.0,47.0,45.0,36.0,13.0,28.0
41,50.0,47.0,45.0,36.0,13.0,28.0,33.0
42,47.0,45.0,36.0,13.0,28.0,33.0,41.0
43,45.0,36.0,13.0,28.0,33.0,41.0,53.0
44,36.0,13.0,28.0,33.0,41.0,53.0,65.0
45,13.0,28.0,33.0,41.0,53.0,65.0,76.0
46,28.0,33.0,41.0,53.0,65.0,76.0,101.0
47,42.0,45.0,44.0,38.0,43.0,47.0,43.0
48,45.0,44.0,38.0,43.0,47.0,43.0,46.0
49,44.0,38.0,43.0,47.0,43.0,46.0,50.0
50,38.0,43.0,47.0,43.0,46.0,50.0,101.0
51,16.0,16.0,16.0,17.0,19.0,17.0,19.0
52,16.0,16.0,17.0,19.0,17.0,19.0,23.0
53,16.0,17.0,19.0,17.0,19.0,23.0,28.0
54,17.0,19.0,17.0,19.0,23.0,28.0,32.0
55,19.0,17.0,19.0,23.0,28.0,32.0,36.0
56,17.0,19.0,23.0,28.0,32.0,36.0,40.0
57,19.0,23.0,28.0,32.0,36.0,40.0,47.0
58,23.0,28.0,32.0,36.0,40.0,47.0,101.0
59,64.0,53.0,59.0,53.0,51.0,49.0,48.0
60,53.0,59.0,53.0,51.0,49.0,48.0,51.0
61,59.0,53.0,51.0,49.0,48.0,51.0,50.0
