,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
0,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0
1,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0
2,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
3,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
4,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
5,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
6,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
7,93.0,71.0,62.0,67.0,46.0,44.0,40.0,29.0
8,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0
9,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0
10,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0
11,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0
12,44.0,40.0,29.0,25.0,21.0,18.0,18.0,18.0
13,11.0,11.0,14.0,12.0,18.0,18.0,20.0,28.0
14,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0
15,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0
16,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0
17,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0
18,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0
19,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0
20,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0
21,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0
22,31.0,34.0,30.0,35.0,39.0,40.0,39.0,40.0
23,96.0,57.0,43.0,35.0,20.0,12.0,9.0,5.0
24,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0
25,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0
26,35.0,20.0,12.0,9.0,5.0,3.0,2.0,2.0
27,100.0,99.0,98.0,95.0,82.0,76.0,75.0,77.0
28,99.0,98.0,95.0,82.0,76.0,75.0,77.0,76.0
29,98.0,95.0,82.0,76.0,75.0,77.0,76.0,73.0
30,95.0,82.0,76.0,75.0,77.0,76.0,73.0,70.0
31,39.0,44.0,55.0,54.0,52.0,50.0,47.0,45.0
32,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0
33,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0
34,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0
35,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0
36,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0
37,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0
