,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
0,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0
1,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
2,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
3,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
4,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
5,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
6,93.0,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0
7,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0
8,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0
9,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0
10,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0,18.0
11,11.0,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0
12,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0
13,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0
14,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0
15,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0
16,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0
17,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0
18,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0
19,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0,40.0
20,96.0,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0
21,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0
22,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0,2.0
23,100.0,99.0,98.0,95.0,82.0,76.0,75.0,77.0,76.0
24,99.0,98.0,95.0,82.0,76.0,75.0,77.0,76.0,73.0
25,98.0,95.0,82.0,76.0,75.0,77.0,76.0,73.0,70.0
26,39.0,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0
27,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0
28,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0
29,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0
30,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0
31,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0
32,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0
33,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0
34,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0,101.0
35,42.0,45.0,44.0,38.0,43.0,47.0,43.0,46.0,50.0
36,45.0,44.0,38.0,43.0,47.0,43.0,46.0,50.0,101.0
37,16.0,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0
38,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0
39,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0
40,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0
41,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0
42,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0,101.0
43,64.0,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0
44,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0
45,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0
46,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0
47,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0
48,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0
49,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0
50,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0,37.0
51,49.0,53.0,56.0,52.0,56.0,60.0,61.0,83.0,96.0
52,53.0,56.0,52.0,56.0,60.0,61.0,83.0,96.0,101.0
53,93.0,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0
54,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0
55,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0
56,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0
57,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0
58,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0
59,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0
60,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0
61,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0,101.0
62,100.0,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0
63,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0
64,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0
65,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0
66,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0
67,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0
68,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0
69,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0
70,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0,76.0
71,72.0,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0
72,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0
73,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0
74,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0
75,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0
76,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0
77,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0
78,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0
79,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0,66.0
80,60.0,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0
81,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0
82,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0
83,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0,101.0
84,64.0,70.0,61.0,57.0,63.0,63.0,63.0,71.0,73.0
85,70.0,61.0,57.0,63.0,63.0,63.0,71.0,73.0,101.0
86,94.0,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0
87,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0
88,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0
89,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0
90,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0,101.0
91,34.0,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0
92,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0
93,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0
94,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0,101.0
95,63.0,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0
96,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0
97,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0
98,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0
99,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0
100,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0
101,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0
102,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0
103,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0
104,15.0,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0
105,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0
106,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0
107,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0
108,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0
109,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0
110,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0
111,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0,101.0
112,99.0,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0
113,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0
114,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0
115,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0
116,69.0,69.0,68.0,69.0,62.0,62.0,60.0,60.0,55.0
117,69.0,68.0,69.0,62.0,62.0,60.0,60.0,55.0,56.0
118,31.0,30.0,27.0,23.0,25.0,30.0,40.0,47.0,67.0
119,30.0,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0
120,27.0,23.0,25.0,30.0,40.0,47.0,67.0,70.0,75.0
121,23.0,25.0,30.0,40.0,47.0,67.0,70.0,75.0,101.0
122,89.0,92.0,75.0,73.0,73.0,79.0,68.0,90.0,93.0
123,92.0,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0
124,75.0,73.0,73.0,79.0,68.0,90.0,93.0,98.0,100.0
125,73.0,73.0,79.0,68.0,90.0,93.0,98.0,100.0,101.0
126,86.0,87.0,97.0,76.0,75.0,75.0,71.0,66.0,66.0
127,87.0,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0
128,97.0,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0
129,76.0,75.0,75.0,71.0,66.0,66.0,58.0,60.0,69.0
130,75.0,75.0,71.0,66.0,66.0,58.0,60.0,69.0,101.0
131,25.0,21.0,25.0,25.0,23.0,24.0,25.0,26.0,30.0
132,21.0,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0
133,25.0,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0
134,25.0,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0
135,23.0,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0
136,24.0,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0
137,25.0,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0
138,26.0,30.0,30.0,35.0,39.0,38.0,41.0,43.0,44.0
139,30.0,30.0,35.0,39.0,38.0,41.0,43.0,44.0,45.0
140,20.0,20.0,18.0,21.0,17.0,13.0,15.0,16.0,19.0
141,20.0,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0
142,18.0,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0
143,21.0,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0
144,17.0,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0
145,13.0,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0
146,15.0,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0
147,16.0,19.0,17.0,16.0,17.0,19.0,19.0,21.0,23.0
148,19.0,17.0,16.0,17.0,19.0,19.0,21.0,23.0,24.0
149,68.0,57.0,52.0,48.0,39.0,36.0,31.0,33.0,39.0
