,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
0,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
1,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
2,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
3,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
4,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
5,93.0,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0
6,71.0,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0
7,62.0,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0
8,67.0,46.0,44.0,40.0,29.0,25.0,21.0,18.0,18.0,18.0
9,11.0,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0
10,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0
11,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0
12,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0
13,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0
14,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0
15,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0
16,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0,40.0
17,96.0,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0
18,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0,2.0
19,100.0,99.0,98.0,95.0,82.0,76.0,75.0,77.0,76.0,73.0
20,99.0,98.0,95.0,82.0,76.0,75.0,77.0,76.0,73.0,70.0
21,39.0,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0
22,44.0,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0
23,55.0,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0
24,54.0,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0
25,52.0,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0
26,50.0,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0
27,47.0,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0
28,45.0,36.0,13.0,28.0,33.0,41.0,53.0,65.0,76.0,101.0
29,42.0,45.0,44.0,38.0,43.0,47.0,43.0,46.0,50.0,101.0
30,16.0,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0
31,16.0,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0
32,16.0,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0
33,17.0,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0
34,19.0,17.0,19.0,23.0,28.0,32.0,36.0,40.0,47.0,101.0
35,64.0,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0
36,53.0,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0
37,59.0,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0
38,53.0,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0
39,51.0,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0
40,49.0,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0
41,48.0,51.0,50.0,50.0,36.0,20.0,25.0,29.0,30.0,37.0
42,49.0,53.0,56.0,52.0,56.0,60.0,61.0,83.0,96.0,101.0
43,93.0,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0
44,91.0,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0
45,88.0,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0
46,82.0,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0
47,69.0,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0
48,65.0,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0
49,57.0,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0
50,55.0,55.0,49.0,57.0,60.0,71.0,65.0,89.0,94.0,101.0
51,100.0,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0
52,96.0,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0
53,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0
54,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0
55,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0
56,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0
57,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0
58,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0,76.0
59,72.0,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0
60,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0
61,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0
62,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0
63,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0
64,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0
65,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0
66,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0,66.0
67,60.0,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0
68,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0
69,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0,101.0
70,64.0,70.0,61.0,57.0,63.0,63.0,63.0,71.0,73.0,101.0
71,94.0,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0
72,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0
73,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0
74,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0,101.0
75,34.0,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0
76,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0
77,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0,101.0
78,63.0,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0
79,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0
80,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0
81,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0
82,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0
83,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0
84,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0
85,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0
86,15.0,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0
